,Spot Size ,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
HFO-10,60,0.12213,0.002354672,15.439,0.297147127,0.9175,0.012846847,8.187996397,0.157965012,,0.586948771,0.438814889
HFO-11,60,0.12213,0.003040771,15.439,0.365569267,0.9175,0.01194502,8.187996397,0.188717628,,0.70951836,0.397177111
HFO-12,60,0.12213,0.001823183,15.439,0.283309251,0.9175,0.01308376,8.187996397,0.118615647,,0.464675911,0.424546426
HFO-13,60,0.12213,0.003799378,15.439,0.465209891,0.9175,0.011181358,8.187996397,0.244104563,,0.842400266,0.295763655
HFO-14,60,0.12213,0.00254191,15.439,0.357318345,0.9175,0.011133839,8.187996397,0.169807746,,0.766924912,0.265727172
HFO-15,60,0.12213,0.001847264,15.439,0.290632237,0.9175,0.012103585,8.187996397,0.120639131,,0.542597599,0.422222192
HFO-16,60,0.12213,0.00193141,15.439,0.271367966,0.9175,0.012914717,8.187996397,0.119762403,,0.385690578,0.486507257
HFO-17,60,0.12213,0.001781172,15.439,0.237134356,0.9175,0.014268106,8.187996397,0.122306644,,0.189917781,0.674557374
HFO-18,60,0.12213,0.002073614,15.439,0.289899812,0.9175,0.014474264,8.187996397,0.139887502,,0.400164947,0.574785299
HFO-19,60,0.12213,0.003625799,15.439,0.471254589,0.9175,0.012078447,8.187996397,0.224466767,,0.821792007,0.122846308
HFO-2,60,0.12213,0.001831439,15.439,0.324845211,0.9175,0.0150735,8.187996397,0.123711427,,0.381877154,0.515636703
HFO-9,60,0.12213,0.002229228,15.439,0.323099727,0.9175,0.011716118,8.187996397,0.144280122,,0.637670081,0.33204598
HFO-20,60,0.12213,0.004109915,15.439,0.462882893,0.9175,0.013405029,8.187996397,0.256107386,,0.84140337,0.365257656
HFO-21,60,0.12213,0.002241427,15.439,0.297672035,0.9175,0.014501037,8.187996397,0.13751862,,0.394254346,0.684323472
HFO-22,60,0.12213,0.001707649,15.439,0.252754019,0.9175,0.014670884,8.187996397,0.115715547,,0.226301235,0.618463755
HFO-23,60,0.12213,0.002385206,15.439,0.348010734,0.9175,0.016720314,8.187996397,0.165527384,,0.456744469,0.385939458
HFO-24,60,0.12213,0.002170647,15.439,0.264336742,0.9175,0.013177571,8.187996397,0.149675814,,0.591412735,0.364529415
HFO-25,60,0.12213,0.003793883,15.439,0.44236723,0.9175,0.01822523,8.187996397,0.234428493,,0.644659812,0.464102238
HFO-26,60,0.12213,0.003278642,15.439,0.458503075,0.9175,0.01185196,8.187996397,0.209474224,,0.819688432,0.211743761
HFO-27,60,0.12213,0.003513092,15.439,0.448984606,0.9175,0.013187042,8.187996397,0.214915937,,0.766425368,0.223972725
HFO-28,60,0.12213,0.001651363,15.439,0.2639655,0.9175,0.011256471,8.187996397,0.110350832,,0.465906339,0.494216742
HFO-29,60,0.12213,0.001606696,15.439,0.234994989,0.9175,0.012221128,8.187996397,0.109805386,,0.286094957,0.550683814
HFO-3,60,0.12213,0.00205031,15.439,0.311975734,0.9175,0.014242485,8.187996397,0.137949848,,0.448631746,0.474044808
HFO-30,60,0.12213,0.002834816,15.439,0.239380838,0.9175,0.018410332,8.187996397,0.196036227,,0.493974935,0.663758652
HFO-31,60,0.12213,0.002279255,15.439,0.328912277,0.9175,0.013350913,8.187996397,0.151971436,,0.53700513,0.520225622
HFO-32,60,0.12213,0.00342766,15.439,0.42025045,0.9175,0.015181706,8.187996397,0.212406909,,0.671972789,0.480700043
HFO-33,60,0.12213,0.002909005,15.439,0.398988379,0.9175,0.013916797,8.187996397,0.185400146,,0.68252981,0.301318422
HFO-4,60,0.12213,0.002009097,15.439,0.327057852,0.9175,0.014609919,8.187996397,0.1334888,,0.54118019,0.412374144
HFO-5,60,0.12213,0.002317226,15.439,0.348139743,0.9175,0.015019988,8.187996397,0.152793936,,0.636841555,0.512760937
HFO-6,60,0.12213,0.002060598,15.439,0.315485148,0.9175,0.013827745,8.187996397,0.126829197,,0.496753667,0.603636134
HFO-7,60,0.12213,0.003319851,15.439,0.400939326,0.9175,0.014734854,8.187996397,0.210571741,,0.695792444,0.405398534
HFO-8,60,0.12213,0.003180745,15.439,0.401750507,0.9175,0.011925793,8.187996397,0.205456664,,0.789657596,0.281949417
HFO - 67,60,0.12213,0.002924735,15.439,0.340834011,0.9175,0.020221446,8.187996397,0.192760731,,0.460721009,0.481006845
HFO - 68,60,0.12213,0.002980624,15.439,0.275028842,0.9175,0.013639106,8.187996397,0.188250942,,0.65813492,0.454076998
HFO - 69,60,0.12213,0.003056947,15.439,0.282691359,0.9175,0.018153073,8.187996397,0.194477445,,0.421267375,0.611006534
HFO - 64,60,0.12213,0.002575836,15.439,0.305782353,0.9175,0.014046177,8.187996397,0.180530414,,0.510284117,0.576949455
HFO - 65,60,0.12213,0.004005019,15.439,0.342852568,0.9175,0.021290121,8.187996397,0.270426925,,0.549690139,0.698031692
HFO - 66,60,0.12213,0.004044229,15.439,0.354871359,0.9175,0.024257829,8.187996397,0.266874842,,0.476651483,0.679920915
HFO - 61,60,0.12213,0.00256472,15.439,0.362452389,0.9175,0.016785893,8.187996397,0.181846682,,0.483210747,0.58767142
HFO - 62,60,0.12213,0.00242913,15.439,0.360605367,0.9175,0.016730545,8.187996397,0.174131608,,0.539198922,0.608645566
HFO - 63,60,0.12213,0.002760392,15.439,0.349959881,0.9175,0.016190944,8.187996397,0.196844171,,0.533368912,0.455603536
HFO - 58,60,0.12213,0.002111329,15.439,0.344184024,0.9175,0.012663919,8.187996397,0.144200763,,0.560398944,0.475868181
HFO - 59,60,0.12213,0.002023429,15.439,0.342166863,0.9175,0.013483343,8.187996397,0.131907263,,0.627602205,0.459764724
HFO - 60,60,0.12213,0.001887532,15.439,0.305503779,0.9175,0.014200176,8.187996397,0.119940043,,0.360293244,0.526941562
HFO - 55,60,0.12213,0.003565593,15.439,0.408447565,0.9175,0.019882451,8.187996397,0.26912996,,0.671697064,0.632512791
HFO - 56,60,0.12213,0.001896375,15.439,0.290172937,0.9175,0.013935664,8.187996397,0.132733777,,0.414255527,0.504976056
HFO - 57,60,0.12213,0.002038947,15.439,0.322940923,0.9175,0.015223208,8.187996397,0.127133514,,0.521352011,0.523879668
HFO - 52,60,0.12213,0.003332929,15.439,0.361179329,0.9175,0.022824586,8.187996397,0.212274481,,0.47041279,0.62213949
HFO - 53,60,0.12213,0.003410726,15.439,0.348741465,0.9175,0.021919796,8.187996397,0.229744011,,0.422902494,0.553359242
HFO - 54,60,0.12213,0.003357954,15.439,0.341435875,0.9175,0.020051921,8.187996397,0.212548181,,0.492319307,0.563776535
HFO - 49,60,0.12213,0.003895507,15.439,0.411138566,0.9175,0.022279048,8.187996397,0.286374067,,0.554701723,0.641602474
HFO - 50,60,0.12213,0.00357898,15.439,0.352600422,0.9175,0.022694462,8.187996397,0.263703573,,0.510558225,0.612466911
HFO - 51,60,0.12213,0.003946848,15.439,0.356055394,0.9175,0.026062712,8.187996397,0.258934063,,0.429114533,0.804470267
HFO - 46,60,0.12213,0.002485362,15.439,0.27929906,0.9175,0.017357624,8.187996397,0.179866928,,0.354899682,0.614922041
