,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
BRe_grain_02_8,10.9537,0.475443,1.00598,1311.57,54.9699,156.146,0.88019,0.00468761,0.00468761,0.097705,0.00361785,0.00765494,-0.0653581,0.986281
BRe_grain_02_9,11.9725,0.125899,0.976278,1430.23,14.6344,159.803,0.875873,0.00424534,0.00424534,0.0843635,0.000917116,0.00711175,0.344118,0.827329
BRe_grain_04_1,5.70341,0.252059,0.526976,685.688,32.0859,83.0924,0.868391,0.00855019,0.00855019,0.187635,0.0089156,0.0186397,0.0850359,0.97755
BRe_grain_04_10,2.85332,0.184346,0.292782,332.721,21.8704,42.6143,0.833594,0.012348,0.012348,0.375977,0.0224239,0.035614,-0.144428,0.976716
BRe_grain_04_16,4.53132,0.176927,0.405758,532.067,20.7257,62.6467,0.848298,0.00921185,0.00921185,0.272749,0.0116356,0.0266846,0.0178946,0.96357
BRe_grain_04_2,3.0154,0.163565,0.294436,349.297,20.2524,44.0058,0.840628,0.00778756,0.00778756,0.374289,0.0203167,0.0365724,-0.16257,0.982548
BRe_grain_04_3,3.02434,0.120405,0.273728,347.541,14.4652,41.5071,0.837532,0.00838646,0.00838646,0.345078,0.0145816,0.0331498,-0.0400964,0.981794
BRe_grain_04_4,2.82581,0.0974237,0.249257,335.065,11.7037,39.2622,0.856379,0.00934447,0.00934447,0.362622,0.0130731,0.0334474,0.123785,0.931027
BRe_grain_04_6,2.00873,0.0999934,0.192066,230.831,11.7727,28.5006,0.828715,0.00821624,0.00821624,0.531777,0.0224861,0.0431909,-0.0615081,0.97989
BRe_grain_04_7,2.90471,0.0930842,0.249536,337.832,10.2566,38.5781,0.84366,0.00874145,0.00874145,0.338108,0.0104881,0.0281159,0.0849378,0.965645
BRe_grain_04_8,3.90895,0.161687,0.348762,463.957,18.5566,53.8539,0.861061,0.00887818,0.00887818,0.261677,0.0103242,0.0222694,0.0299681,0.97321
BRe_grain_04_9,2.60593,0.066341,0.221825,303.317,8.31667,34.8013,0.834055,0.00800561,0.00800561,0.379992,0.0109038,0.0364591,0.157818,0.956686
BRe_grain_05_10,1.01825,0.103993,0.132583,99.7923,11.3883,15.9135,0.696064,0.0161888,0.0161888,1.52825,0.111146,0.141702,-0.385998,0.990148
BRe_grain_05_11,1.52064,0.171349,0.210713,156.694,18.3004,25.2669,0.749189,0.0147713,0.0147713,0.999056,0.0662642,0.0814869,-0.00893501,0.994079
BRe_grain_05_2,5.54488,0.533444,0.700848,600.776,57.9478,89.2678,0.784538,0.0138757,0.0138757,0.246296,0.0145782,0.0191531,0.163723,0.990376
BRe_grain_05_3,6.08938,0.747195,0.899948,669.879,80.5075,110.756,0.798954,0.0167942,0.0167942,0.250614,0.0203202,0.0244744,0.0752561,0.993243
BRe_grain_05_4,4.87898,1.05833,1.13187,517.673,112.436,126.826,0.761425,0.0164664,0.0164664,0.397619,0.0332103,0.0355178,-0.0662412,0.997552
BRe_grain_05_6,1.37842,0.152895,0.189761,140.142,16.4026,22.738,0.734719,0.0132586,0.0132586,1.10287,0.0654261,0.0812018,-0.152693,0.993916
BRe_grain_05_7,1.88145,0.157481,0.219563,201.675,17.7922,28.766,0.768372,0.0120466,0.0120466,0.795968,0.0506747,0.0706515,-0.0267651,0.989059
BRe_grain_05_8,2.40783,0.298906,0.357042,250.493,29.9533,41.0034,0.786671,0.0140012,0.0140012,0.727989,0.0520288,0.0621481,-0.0830943,0.990105
BRe_grain_05_9,3.7333,0.239705,0.3854,423.096,26.1984,53.9347,0.827872,0.0117046,0.0117046,0.382471,0.0212622,0.0341857,0.253042,0.978109
BRe_grain_06_1,5.09998,0.249006,0.47829,612.196,27.6244,72.9519,0.88013,0.00963785,0.00963785,0.23361,0.00971098,0.0186529,0.216278,0.982353
BRe_grain_06_2,5.26666,0.267179,0.498956,633.313,29.3198,75.7517,0.878556,0.0116978,0.0116978,0.220114,0.00972,0.0181521,0.235028,0.986003
BRe_grain_06_3,8.26908,1.03109,1.22718,976.533,110.166,154.445,0.891569,0.0191331,0.0191331,0.18039,0.0140803,0.0167581,0.369792,0.992746
BRe_grain_06_4,6.94868,0.640046,0.849226,808.691,65.4128,110.882,0.872655,0.0109734,0.0109734,0.177268,0.0102186,0.0135583,0.160146,0.992673
BRe_grain_06_5,6.56211,0.47075,0.705549,795.618,53.5087,102.794,0.881341,0.0133208,0.0133208,0.170428,0.00849525,0.0127325,0.260946,0.987026
BRe_grain_06_6,7.38205,0.82194,1.01336,870.439,88.2798,130.61,0.875405,0.0124544,0.0124544,0.165147,0.00957833,0.011809,0.214509,0.993817
BRe_grain_06_7,4.89068,0.198154,0.437311,601.372,24.5212,70.448,0.889634,0.0106317,0.0106317,0.210491,0.00733837,0.0161952,0.437576,0.989685
BRe_grain_07_1,13.6747,0.328895,1.16653,1644.42,39.0996,189.797,0.874847,0.00658624,0.00658624,0.0738427,0.00183284,0.00650074,0.133895,0.936652
BRe_grain_07_2,10.617,0.486882,0.981827,1267.01,55.9746,150.932,0.865059,0.00896741,0.00896741,0.0984541,0.00457195,0.00921961,0.221585,0.976959
BRe_grain_07_3,4.56314,0.347787,0.511262,530.958,37.7703,71.013,0.848271,0.0122099,0.0122099,0.241302,0.0139286,0.0204757,0.292202,0.996314
BRe_grain_07_4,2.90932,0.234213,0.334641,328.698,25.7178,45.2472,0.827069,0.0165679,0.0165679,0.39328,0.0195613,0.027949,0.195058,0.990638
BRe_grain_07_5,7.93672,0.389142,0.76011,942.065,41.3194,114.61,0.86506,0.00946347,0.00946347,0.137612,0.00609303,0.0119015,0.293575,0.990684
BRe_grain_07_6,6.83189,0.540953,0.778993,810.056,61.6612,110.448,0.86387,0.0109559,0.0109559,0.182784,0.0124332,0.0179043,0.0492779,0.993586
BRe_grain_09_1,1.98355,0.0322949,0.158026,230.313,3.67892,24.9585,0.845791,0.00508813,0.00508813,0.561869,0.00874288,0.0427809,0.286746,0.909855
BRe_grain_09_2,2.42729,0.0369828,0.194583,283.471,4.68818,31.1867,0.849672,0.00513198,0.00513198,0.472813,0.00712238,0.0374739,0.206418,0.905436
BRe_grain_09_3,1.89429,0.018763,0.151184,219.42,2.13644,23.9503,0.844444,0.004291,0.004291,0.620048,0.00577018,0.0464935,0.448777,0.807667
BRe_grain_09_4,2.17393,0.0215287,0.178609,252.843,2.22659,28.3888,0.845893,0.00426132,0.00426132,0.553663,0.00583151,0.0483801,0.314075,0.837267
BRe_grain_100_1,4.5079,0.122942,0.386164,537.273,14.8353,61.9605,0.861206,0.00933007,0.00933007,0.22404,0.00640222,0.0201096,0.0166455,0.923411
BRe_grain_100_2,3.80439,0.0863247,0.3217,446.489,9.63717,50.9292,0.849901,0.00590883,0.00590883,0.266165,0.00638913,0.0238099,0.306426,0.935101
BRe_grain_100_3,3.71404,0.0923259,0.316872,437.232,10.8901,50.264,0.850707,0.00657084,0.00657084,0.273999,0.00777528,0.0266855,0.209599,0.947283
BRe_grain_100_4,3.48473,0.0753014,0.295871,403.645,8.13092,46.2929,0.837709,0.00767054,0.00767054,0.288972,0.0062077,0.024391,0.259659,0.901636
BRe_grain_100_5,2.95943,0.0330095,0.241905,345.21,4.10181,38.7015,0.838174,0.00634866,0.00634866,0.335457,0.00370942,0.0271839,0.368743,0.752606
BRe_grain_101_1,3.9701,0.0816729,0.324561,472.544,8.29698,53.607,0.852458,0.00718412,0.00718412,0.252088,0.00515922,0.0205023,0.366222,0.90515
BRe_grain_101_2,4.46006,0.0864513,0.374585,536.065,9.97618,61.0904,0.8546,0.00843055,0.00843055,0.221889,0.00418865,0.018149,0.356057,0.852343
BRe_grain_101_3,2.74136,0.0717559,0.235538,325.037,8.18441,37.5392,0.839861,0.00752289,0.00752289,0.367832,0.009925,0.0325788,0.201659,0.940528
BRe_grain_101_4,2.23338,0.103815,0.210266,266.865,12.4347,32.5644,0.845107,0.0067525,0.0067525,0.469986,0.0174561,0.0353555,-0.0204453,0.982748
BRe_grain_101_5,2.57375,0.17029,0.270422,301.949,19.7484,39.2832,0.831261,0.00664468,0.00664468,0.439438,0.0252672,0.0401245,-0.146915,0.991345
BRe_grain_102_1,5.75772,0.683694,0.828068,689.373,81.0559,111.839,0.871994,0.0224166,0.0224166,0.245232,0.0207011,0.0250725,0.131801,0.989354
BRe_grain_102_2,8.7419,1.28735,1.46945,1031.51,138.968,180.495,0.889341,0.0248254,0.0248254,0.182077,0.0171388,0.0195632,0.340033,0.990878
BRe_grain_102_3,14.9144,2.77218,3.02349,1758.79,313.554,369.833,0.888531,0.0272754,0.0272754,0.130597,0.0141179,0.0153978,0.198616,0.990037
BRe_grain_102_4,10.7017,1.79455,1.99145,1204.6,170.719,216.917,0.888893,0.0116847,0.0116847,0.14443,0.0108116,0.0119979,0.145718,0.997598
BRe_grain_102_5,16.0059,2.48537,2.80029,1838.81,260.479,331.089,0.890996,0.0245681,0.0245681,0.102539,0.0108351,0.012208,0.331485,0.989535
BRe_grain_102_6,45.8368,11.9742,12.5376,5328.35,1353.95,1479.11,0.879107,0.0231504,0.0231504,0.0591297,0.0076845,0.00804606,0.209188,0.998834
BRe_grain_103_1,2.94646,0.0623904,0.252983,337.651,6.22695,39.2941,0.832999,0.00698285,0.00698285,0.356723,0.00689937,0.0279758,0.32504,0.916334
BRe_grain_103_2,3.96513,0.0863197,0.339764,462.047,10.2188,53.7006,0.840125,0.00809048,0.00809048,0.262851,0.00573836,0.0225868,0.287363,0.90653
BRe_grain_103_3,4.14971,0.0847588,0.352267,486.216,9.26648,54.4805,0.846501,0.00807629,0.00807629,0.24714,0.00533091,0.0221558,0.373687,0.877351
BRe_grain_104_1,4.69832,0.235475,0.449131,564.122,27.5162,69.0477,0.856019,0.00529264,0.00529264,0.229029,0.0103269,0.019697,0.00726183,0.987192
BRe_grain_104_2,6.57579,0.180917,0.56541,796.262,21.9631,92.096,0.863388,0.00577875,0.00577875,0.153975,0.00439119,0.0137236,0.214638,0.956524
BRe_grain_104_3,6.74734,0.117111,0.561161,817.027,13.2491,92.64,0.864737,0.00753825,0.00753825,0.147816,0.00259712,0.0124446,0.430941,0.84631
BRe_grain_104_4,2.97678,0.0491618,0.245798,350.949,5.20429,39.3704,0.844893,0.00599104,0.00599104,0.334812,0.00546801,0.0273387,0.210593,0.884309
BRe_grain_104_5,5.16001,0.133824,0.440457,621.971,16.281,71.6708,0.862007,0.00686404,0.00686404,0.196525,0.00530717,0.0174676,0.142917,0.933002
BRe_grain_104_6,4.95878,0.215029,0.456512,594.684,26.0032,71.5044,0.861739,0.00710921,0.00710921,0.215693,0.0101492,0.0215469,0.147885,0.980356
BRe_grain_105_1,3.00298,0.0721664,0.254543,347.981,8.22783,39.8334,0.852422,0.00884337,0.00884337,0.38803,0.00893143,0.0315027,0.135692,0.874689
BRe_grain_105_2,3.66714,0.0779357,0.306392,431.441,9.44313,48.9612,0.861951,0.00781142,0.00781142,0.314757,0.00710844,0.0279457,0.178598,0.88562
BRe_grain_105_3,2.51441,0.0883953,0.220717,286.941,10.1444,33.3772,0.835954,0.00785132,0.00785132,0.46734,0.016351,0.0408272,0.136392,0.958888
BRe_grain_105_4,3.67619,0.136756,0.324211,428.555,16.1247,49.9027,0.855538,0.00777279,0.00777279,0.316336,0.0124278,0.0294629,0.0485007,0.9663
BRe_grain_105_5,2.69084,0.0740217,0.22567,310.335,8.84585,35.0698,0.845418,0.00848633,0.00848633,0.408906,0.0111882,0.0341094,0.139717,0.938004
BRe_grain_106_1,1.32262,0.036224,0.109367,144.594,3.82482,15.9619,0.800775,0.0105264,0.0105264,0.794945,0.0221449,0.0668593,0.274911,0.898832
BRe_grain_106_2,1.50632,0.0275586,0.122594,161.728,3.20185,18.0582,0.766458,0.00720115,0.00720115,0.737652,0.0139811,0.0621946,0.244949,0.864099
BRe_grain_106_3,1.79323,0.0561722,0.154543,200.13,5.67752,22.8747,0.799862,0.00717286,0.00717286,0.636701,0.0185605,0.0510641,0.293971,0.957061
BRe_grain_107_1,9.79608,0.321207,0.869813,1162.85,35.9085,137.525,0.860719,0.005747,0.005747,0.116776,0.00355803,0.00963496,0.226631,0.97194
BRe_grain_107_2,11.4782,0.270042,0.986716,1370.34,33.1089,159.688,0.865783,0.00596152,0.00596152,0.0954752,0.00226277,0.00826803,0.155358,0.949381
BRe_grain_107_3,11.1942,0.261753,0.971284,1327.95,30.6866,156.129,0.865754,0.00552956,0.00552956,0.0975659,0.00245319,0.00910303,0.320849,0.953919
BRe_grain_107_4,7.47553,0.193542,0.653057,872.923,23.0917,102.884,0.854603,0.0056364,0.0056364,0.144159,0.00374454,0.012635,0.0818196,0.956428
BRe_grain_108_1,4.66016,0.13292,0.403396,569.725,17.0406,66.3691,0.86131,0.00904889,0.00904889,0.224759,0.00637696,0.0193533,0.157063,0.919517
BRe_grain_108_2,3.81292,0.11888,0.332429,456.771,13.1594,52.934,0.850221,0.011103,0.011103,0.278309,0.00848878,0.0237376,0.248274,0.909271
BRe_grain_108_3,3.85359,0.135606,0.342155,463.082,16.202,54.5164,0.847696,0.00810163,0.00810163,0.276703,0.00887339,0.022389,0.071395,0.973256
BRe_grain_108_4,6.15319,0.516249,0.718792,742.351,60.6923,102.967,0.858183,0.00890672,0.00890672,0.222949,0.0185221,0.0257889,-0.0502288,0.99062
BRe_grain_108_5,3.08127,0.191729,0.315357,354.496,20.1963,44.559,0.83484,0.00956606,0.00956606,0.378709,0.020307,0.0334009,0.00631202,0.983725
BRe_grain_108_6,2.92013,0.124844,0.267901,349.915,14.1268,41.605,0.850287,0.0076627,0.0076627,0.372071,0.0144097,0.0309216,0.116963,0.973073
BRe_grain_109_1,2.84596,0.0743247,0.245351,321.819,8.68986,37.3666,0.834786,0.00709138,0.00709138,0.355243,0.0102105,0.0337057,0.0776178,0.944691
BRe_grain_109_2,3.65289,0.0936968,0.313504,418.361,10.92,48.401,0.84536,0.00889481,0.00889481,0.275555,0.00737756,0.0246849,0.182166,0.907383
BRe_grain_110_1,3.59642,0.110979,0.307422,427.039,12.6554,48.5809,0.88187,0.00855337,0.00855337,0.296409,0.00979334,0.0271284,0.183634,0.94218
BRe_grain_110_2,8.40575,0.282835,0.731057,1033.54,39.192,120.999,0.9058,0.00871667,0.00871667,0.125227,0.00419432,0.0108413,-0.100545,0.953226
BRe_grain_110_3,4.41453,0.0925167,0.361414,529.417,10.69,58.8401,0.889688,0.00793691,0.00793691,0.229767,0.00476972,0.0186328,0.261651,0.878268
BRe_grain_111_1,4.27609,0.0803821,0.369114,500.482,9.05533,59.0317,0.867215,0.00496954,0.00496954,0.233684,0.00413864,0.0190046,0.157798,0.924539
BRe_grain_111_2,3.20382,0.0455551,0.25611,373.73,5.34936,40.9494,0.861519,0.00611055,0.00611055,0.307992,0.004524,0.0254338,0.346896,0.836228
BRe_grain_111_3,4.31489,0.0647746,0.364132,504.471,6.44996,58.5228,0.864453,0.00579877,0.00579877,0.228641,0.00335215,0.0188442,0.448647,0.84851
BRe_grain_111_4,3.64925,0.0752807,0.307718,424.884,8.2406,47.3418,0.858585,0.00678601,0.00678601,0.271903,0.00559026,0.0228508,0.321291,0.893105
BRe_grain_111_5,3.37708,0.0437356,0.274788,398.096,4.97699,44.1947,0.862607,0.0060031,0.0060031,0.291357,0.00388568,0.0244135,0.268314,0.798543
BRe_grain_111_6,4.64475,0.0792815,0.385414,550.337,8.80341,62.4078,0.865395,0.00730559,0.00730559,0.213216,0.0036716,0.0178489,0.345528,0.847169
BRe_grain_112_1,2.50961,0.0579756,0.213451,291.882,6.58116,33.5578,0.835275,0.0124538,0.0124538,0.412701,0.00936444,0.0344774,0.312682,0.781989
BRe_grain_112_2,0.846251,0.0340454,0.0762099,88.7371,4.40122,10.8059,0.737682,0.0102898,0.0102898,1.26569,0.048893,0.109446,-0.328631,0.951787
BRe_grain_12_1,10.8984,0.201477,0.910614,1324.66,24.6241,150.81,0.887856,0.00641417,0.00641417,0.113983,0.00216783,0.00979795,0.285257,0.911373
BRe_grain_12_2,11.7795,0.229655,0.982912,1423.28,27.2024,161.453,0.883538,0.00747173,0.00747173,0.105636,0.00194134,0.00830883,0.383926,0.88561
BRe_grain_12_3,11.5979,0.187583,0.954779,1397.71,21.232,156.837,0.880504,0.00645064,0.00645064,0.106254,0.00167624,0.00853189,0.44682,0.857233
BRe_grain_12_4,11.5613,0.206801,0.957319,1398.93,23.1521,157.579,0.8846,0.00674513,0.00674513,0.104372,0.00180203,0.00834191,0.479799,0.881655
BRe_grain_12_5,11.9936,0.196808,0.97202,1456.54,24.3444,161.775,0.885375,0.00585705,0.00585705,0.0966693,0.0015259,0.00753632,0.342246,0.893545
BRe_grain_12_6,11.7522,0.205546,0.949261,1428.6,23.8714,157.139,0.887592,0.00550199,0.00550199,0.0946129,0.00159007,0.00734333,0.399891,0.906394
BRe_grain_13_1,11.8743,0.663224,1.15234,1439.68,78.1646,175.863,0.880335,0.0111147,0.0111147,0.0933334,0.00468738,0.00814427,0.150924,0.981821
BRe_grain_13_2,19.5433,1.34996,2.0809,2441.87,172.93,322.752,0.871023,0.0141097,0.0141097,0.0637775,0.00382046,0.00588906,0.261668,0.984538
BRe_grain_13_3,11.219,0.368017,0.985738,1390.19,46.3039,162.764,0.869755,0.00722589,0.00722589,0.10173,0.00312495,0.00837022,0.0868907,0.96538
BRe_grain_13_4,15.0608,0.536217,1.3437,1873.54,59.5527,219.453,0.880324,0.0104492,0.0104492,0.0760686,0.00260957,0.00653927,0.33083,0.949174
BRe_grain_13_5,12.9885,0.495965,1.18086,1600.72,57.5308,191.028,0.876956,0.0126801,0.0126801,0.088041,0.00354146,0.00843197,0.318684,0.926501
BRe_grain_13_6,20.4429,0.595625,1.81372,2581.8,73.4164,307.296,0.888007,0.00588326,0.00588326,0.0532544,0.00157354,0.00479152,0.250412,0.971678
BRe_grain_13_7,18.1535,0.74482,1.68047,2265.04,89.6966,274.625,0.881872,0.00596696,0.00596696,0.0610833,0.00277826,0.00626833,0.279578,0.982925
BRe_grain_13_8,12.6347,0.502943,1.1226,1575.33,58.7736,188.782,0.881043,0.0108722,0.0108722,0.0852073,0.00331036,0.0073889,0.162911,0.959059
BRe_grain_14_1,1.53183,0.0295092,0.133001,171.962,3.37998,20.2648,0.797298,0.00713519,0.00713519,0.677035,0.0136609,0.0615713,0.311924,0.872772
BRe_grain_14_2,1.69956,0.0239816,0.146869,191.939,2.8577,22.4815,0.804716,0.00713074,0.00713074,0.60002,0.00839512,0.0514137,0.40581,0.771909
BRe_grain_14_3,1.15324,0.0207845,0.0998794,124.313,2.23181,14.6907,0.770941,0.00794918,0.00794918,0.88699,0.016126,0.0774933,0.339452,0.815875
BRe_grain_14_4,1.12599,0.0244806,0.098007,121.934,2.6482,14.4358,0.775296,0.00654957,0.00654957,0.913058,0.0194938,0.0780425,0.0956636,0.916412
BRe_grain_14_5,1.06928,0.0262859,0.0927297,116.654,2.89697,13.7121,0.780503,0.00616372,0.00616372,0.958949,0.0239429,0.0844641,0.175597,0.956337
BRe_grain_14_6,1.01552,0.0150994,0.0853401,109.058,1.4642,12.5441,0.772605,0.00644556,0.00644556,1.00469,0.0146716,0.0829221,0.45356,0.788873
BRe_grain_14_7,0.97109,0.0140025,0.0804288,103.266,1.41707,11.7143,0.766174,0.0059758,0.0059758,1.05008,0.0153172,0.0879805,0.469991,0.806172
BRe_grain_14_8,0.959922,0.015587,0.0786771,102.204,1.53839,11.4431,0.770583,0.00691359,0.00691359,1.06287,0.0177408,0.0895489,0.438047,0.817784
BRe_grain_17_1,7.16765,0.120488,0.601095,884.197,14.4829,101.166,0.875984,0.00595422,0.00595422,0.14029,0.00249074,0.0124259,0.403581,0.902413
BRe_grain_17_10,9.87272,0.139081,0.84101,1176.11,16.6428,136.439,0.884191,0.00485492,0.00485492,0.101319,0.00147966,0.00894737,0.189633,0.896037
BRe_grain_17_11,9.55094,0.135893,0.812632,1134.91,15.5206,131.744,0.882044,0.00521952,0.00521952,0.105603,0.00153038,0.00915158,0.2231,0.874808
