,Final Pb206/U238_mean,Final Pb206/U238_2SE,Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE,Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
BRc02_grain_52_1,11.4725,0.192964,0.822585,1302.4,21.0081,96.2438,0.826006,0.00543968,0.00587338,0.0876445,0.00147371,0.00628227,0.332886,0.923219
BRc02_grain_52_2,3.11338,0.068935,0.227354,350.257,7.60646,26.3403,0.817773,0.00626793,0.0066405,0.325403,0.0079017,0.0260605,0.154257,0.941392
BRc02_grain_52_3,3.34713,0.105556,0.256435,386.628,12.6061,30.6415,0.837412,0.00817645,0.00847922,0.306432,0.00896907,0.0217892,0.0338271,0.954471
BRc02_grain_52_4,2.55836,0.0920317,0.201375,288.836,10.781,23.5395,0.813174,0.00731666,0.00763471,0.401103,0.0152304,0.0333257,0.226708,0.985105
BRc02_grain_52_5,2.9199,0.116883,0.233501,326.98,13.273,26.9401,0.810856,0.00573655,0.00613484,0.366983,0.0183424,0.0366434,-0.0180455,0.982506
BRc02_grain_52_6,3.98428,0.0801332,0.289332,451.573,9.42776,33.9956,0.820806,0.00421279,0.00475316,0.255284,0.00497822,0.0179746,0.201018,0.984126
BRc02_grain_52_7,2.33335,0.109798,0.196041,258.507,12.064,22.2017,0.806986,0.00601326,0.00639081,0.459308,0.0205393,0.0366722,0.0770742,0.991051
BRc02_grain_53_1,0.855305,0.0174529,0.0619179,86.7487,1.74444,6.48436,0.739634,0.00419356,0.00463897,1.19388,0.024534,0.0870398,0.185977,0.960923
BRc02_grain_53_2,0.769482,0.0130803,0.0549017,76.6402,1.20062,5.63446,0.72734,0.0035061,0.00401213,1.31944,0.0222792,0.0935119,0.374935,0.95487
BRc02_grain_53_3,0.972588,0.00907268,0.0679173,100.262,0.844824,7.2417,0.755403,0.0038078,0.00431312,1.03383,0.0097174,0.0727436,0.379254,0.842574
BRc02_grain_53_4,1.13075,0.0163499,0.0796211,121.24,1.79515,8.85053,0.783646,0.00411566,0.00462113,0.891932,0.0133776,0.0651465,0.182473,0.937491
BRc02_grain_54_1,5.18975,0.115121,0.376686,572.585,12.9859,43.0165,0.807511,0.00475359,0.00522359,0.19517,0.00441233,0.0144375,0.0559016,0.973599
BRc02_grain_54_2,4.27576,0.130278,0.32318,464.69,14.0036,36.1234,0.800619,0.00422774,0.00474165,0.241347,0.00755995,0.0187539,-0.0186635,0.986398
BRc02_grain_54_3,2.8488,0.0426925,0.200927,304.33,4.32436,22.1567,0.785619,0.00390855,0.00444019,0.353637,0.00518373,0.0243966,0.221498,0.966795
BRc02_grain_54_4,4.31171,0.0825978,0.309407,471.262,8.54821,34.8195,0.80336,0.00455183,0.00503592,0.233536,0.00392332,0.0146965,0.311956,0.982304
