,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
LRa02_grain_74_3,5.34689,0.145538,0.481569,586.695,15.1636,54.5929,0.791332,0.00760566,0.00760566,0.22615,0.00580872,0.0192204,0.962933,0.0408234
LRa02_grain_74_4,5.67684,0.163482,0.517216,634.684,16.8656,57.5472,0.803683,0.0074587,0.0074587,0.205583,0.00564488,0.017859,0.958834,0.11111
LRa02_grain_75_1,9.4303,0.180469,0.797486,1080.57,20.5369,95.405,0.822901,0.0049211,0.0049211,0.120696,0.00231855,0.0102456,0.937781,0.248146
LRa02_grain_75_2,9.28652,0.171126,0.784655,1073.11,21.1987,95.3002,0.828532,0.00584308,0.00584308,0.119302,0.00237568,0.0108931,0.921304,0.257903
LRa02_grain_75_3,9.30502,0.199875,0.796279,1085.49,26.6318,97.7682,0.830015,0.00580692,0.00580692,0.116128,0.00259299,0.0103302,0.936582,0.203391
LRa02_grain_75_4,8.93887,0.160547,0.768427,1036.34,20.5638,93.4025,0.829051,0.00549676,0.00549676,0.117976,0.00224586,0.0107494,0.924888,0.248809
LRa02_grain_75_5,8.04811,0.158001,0.684755,933.475,19.1799,83.0142,0.830786,0.00530324,0.00530324,0.12942,0.00270043,0.0117033,0.937701,0.219941
LRa02_grain_76_1,2.78145,0.0827258,0.256508,300.246,9.48004,28.8803,0.776163,0.00794692,0.00794692,0.375006,0.0109167,0.0338493,0.931864,0.0885532
LRa02_grain_76_2,1.81757,0.0768641,0.175929,186.084,8.48649,18.8953,0.732985,0.0130306,0.0130306,0.587717,0.0244593,0.0559834,0.934501,0.0620747
LRa02_grain_76_3,3.09343,0.0507383,0.268138,337.379,5.80501,30.3787,0.786852,0.00817998,0.00817998,0.324674,0.00525299,0.0277606,0.795275,0.263306
LRa02_grain_76_4,3.1067,0.0367441,0.267878,328.394,3.76855,29.4337,0.779191,0.00515649,0.00515649,0.322873,0.00381129,0.0277857,0.795134,0.35809
LRa02_grain_76_5,2.90949,0.0855165,0.263113,305.504,9.36591,28.7769,0.773618,0.00574122,0.00574122,0.35591,0.0117396,0.0361199,0.961854,0.00179264
LRa02_grain_77_1,5.15121,0.093459,0.45038,599.716,11.2122,54.5698,0.860844,0.00644073,0.00644073,0.195659,0.00342873,0.0165231,0.890846,0.222871
LRa02_grain_77_2,3.50573,0.0624979,0.306917,398.336,7.12415,36.2894,0.838556,0.00590926,0.00590926,0.287231,0.00497523,0.0244326,0.907497,0.282141
LRa02_grain_77_3,4.49588,0.129605,0.405942,507.788,14.4558,47.514,0.836001,0.00587168,0.00587168,0.228606,0.00621149,0.0194553,0.961808,0.102876
LRa02_grain_77_4,5.73331,0.16616,0.518049,654.268,18.6117,61.2426,0.844871,0.00483597,0.00483597,0.179271,0.00489305,0.0152554,0.970788,0.129581
LRa02_grain_78_1,5.88318,0.0872833,0.511115,648.032,11.1232,58.8736,0.810201,0.00568302,0.00568302,0.17045,0.00258975,0.0151651,0.871152,0.372186
LRa02_grain_78_2,5.17525,0.0726055,0.449168,547.591,8.35326,49.5419,0.781337,0.0046787,0.0046787,0.194086,0.00278689,0.0172409,0.882622,0.312586
LRa02_grain_78_3,5.89106,0.0753063,0.510075,648.91,7.87124,58.3814,0.81417,0.0051419,0.0051419,0.169621,0.00207105,0.0140279,0.839884,0.500406
LRa02_grain_78_4,5.23244,0.0871358,0.456437,555.088,10.5323,50.5928,0.781783,0.0040625,0.0040625,0.192476,0.00328777,0.0172221,0.945509,0.139165
LRa02_grain_78_5,4.22774,0.0534085,0.365919,462.296,6.01909,41.6522,0.806188,0.0056506,0.0056506,0.236661,0.00301319,0.0206444,0.828794,0.470642
LRa02_grain_78_6,5.15526,0.0396543,0.443272,552.21,5.04353,49.5516,0.785385,0.00358603,0.00358603,0.193443,0.00155256,0.0173551,0.809572,0.312494
LRa02_grain_79_1,4.81489,0.0465143,0.414954,512.451,5.70674,46.1244,0.782512,0.00431136,0.00431136,0.207557,0.00202076,0.0180272,0.790768,0.330126
LRa02_grain_79_2,5.09752,0.0780343,0.443402,547.806,9.1996,49.6562,0.78639,0.00460048,0.00460048,0.196721,0.00299034,0.0169915,0.916953,0.244312
LRa02_grain_79_3,5.44262,0.0835523,0.473494,590.501,9.36522,53.4624,0.792322,0.00525836,0.00525836,0.184599,0.00274908,0.0155791,0.869536,0.422587
LRa02_grain_79_4,4.94929,0.0603154,0.429018,536.411,7.16533,48.4884,0.783173,0.00499488,0.00499488,0.203621,0.00241976,0.0172115,0.837315,0.435444
LRa02_grain_79_5,4.58814,0.0507387,0.397762,493.326,5.78828,44.5348,0.777377,0.00447783,0.00447783,0.219837,0.00244369,0.0191571,0.819278,0.462467
LRa02_grain_80_1,5.97612,0.0852989,0.515092,686.728,10.4217,61.6993,0.831933,0.00393171,0.00393171,0.169633,0.00246007,0.0148555,0.927576,0.182146
LRa02_grain_80_2,6.41608,0.090124,0.552202,745.85,11.2704,66.8447,0.842039,0.00375971,0.00375971,0.158007,0.00225439,0.013813,0.918636,0.115153
LRa02_grain_80_3,5.00357,0.128133,0.445231,567.768,14.8257,52.4916,0.824449,0.00420497,0.00420497,0.20721,0.00566167,0.0196729,0.967114,0.00436508
LRa02_grain_80_4,4.82593,0.0697695,0.417672,548.08,8.16244,49.2964,0.827833,0.00455967,0.00455967,0.211189,0.00297379,0.0178025,0.910027,0.122858
LRa02_grain_80_5,4.05965,0.0454307,0.351846,450.459,5.4031,41.7643,0.809799,0.00428817,0.00428817,0.250659,0.00280786,0.021746,0.859264,0.346194
LRa02_grain_81_1,4.71426,0.104863,0.416212,474.476,10.5761,43.4808,0.736129,0.00456816,0.00456816,0.217299,0.00468172,0.0185822,0.959246,-0.044886
LRa02_grain_81_2,4.47569,0.109225,0.39847,445.745,12.2897,41.6186,0.72726,0.00447476,0.00447476,0.231836,0.00560563,0.0204501,0.96558,-0.00339282
LRa02_grain_81_3,4.12288,0.0694014,0.359685,409.624,8.32766,37.4785,0.72723,0.00414022,0.00414022,0.248796,0.00427613,0.0221618,0.948389,0.0325832
LRa02_grain_81_4,4.47276,0.125074,0.4038,444.105,13.0934,41.7998,0.727523,0.00412538,0.00412538,0.233767,0.0067663,0.0218448,0.976021,-0.21258
LRa02_grain_82_1,1.48723,0.0442928,0.134405,136.726,4.38068,12.9199,0.673496,0.00576434,0.00576434,0.704254,0.0211396,0.0641476,0.96553,-0.226905
LRa02_grain_82_2,1.34367,0.0258891,0.117211,120.053,1.89462,10.797,0.654536,0.00547995,0.00547995,0.757803,0.0143549,0.0649909,0.853446,0.132413
LRa02_grain_83_2,3.67799,0.224132,0.383266,398.98,24.0983,42.584,0.777421,0.0106763,0.0106763,0.298428,0.016527,0.0282612,0.982021,-0.664321
LRa02_grain_83_3,3.45628,0.295694,0.41658,364.744,30.7653,44.565,0.758165,0.0113961,0.0113961,0.338521,0.0278727,0.0392677,0.987642,-0.536903
LRa02_grain_84_1,4.93319,0.161824,0.444519,495.793,18.3591,47.1189,0.702526,0.0051591,0.0051591,0.227443,0.0080464,0.0221029,0.982412,-0.322386
LRa02_grain_84_2,5.35078,0.131945,0.465449,528.765,14.8803,48.4204,0.691468,0.00428382,0.00428382,0.210054,0.00514178,0.0181381,0.970184,-0.0774577
LRa02_grain_84_3,6.0819,0.143122,0.538529,601.025,15.4873,55.5479,0.689745,0.00469391,0.00469391,0.189277,0.00479156,0.0180292,0.956846,0.12599
LRa02_grain_84_4,5.47476,0.196179,0.504797,542.128,21.781,52.742,0.687797,0.00423756,0.00423756,0.221948,0.00870267,0.0223932,0.984875,-0.225126
LRa02_grain_85_1,4.09761,0.0797649,0.356672,429.073,9.18608,39.0911,0.73104,0.00465119,0.00465119,0.289928,0.00547878,0.0244986,0.915976,0.0577997
LRa02_grain_85_2,5.13931,0.187144,0.48142,552.412,20.5628,53.7137,0.748685,0.00557931,0.00557931,0.241145,0.00772942,0.0198836,0.973955,-0.028402
LRa02_grain_85_3,5.26734,0.112003,0.464577,551.655,12.8552,50.8737,0.730238,0.00519007,0.00519007,0.229168,0.00501463,0.0208001,0.936522,-0.0625894
LRa02_grain_85_4,4.30619,0.13062,0.393524,446.274,13.9188,42.4304,0.726898,0.0056474,0.0056474,0.285627,0.0102597,0.0309099,0.950696,-0.035274
LRa02_grain_85_5,5.0492,0.122528,0.45421,535.012,15.2812,50.5341,0.745676,0.00531851,0.00531851,0.237495,0.0057823,0.021435,0.955671,-0.126401
LRa02_grain_86_1,5.64856,0.0846613,0.503426,574.77,9.51831,53.4785,0.721851,0.00581411,0.00581411,0.203621,0.00292721,0.0174062,0.864228,0.232625
LRa02_grain_86_2,5.45023,0.0887917,0.495763,551.348,9.8325,52.1118,0.720437,0.00434935,0.00434935,0.205176,0.00334887,0.0186982,0.917638,0.300268
LRa02_grain_86_3,5.26966,0.0709066,0.460252,529.919,7.4829,48.5044,0.721952,0.00552349,0.00552349,0.20381,0.00271338,0.0176124,0.809179,0.413769
LRa02_grain_86_4,4.52801,0.0740795,0.418052,454.836,8.24301,42.6829,0.722775,0.00458059,0.00458059,0.229799,0.00363288,0.0205014,0.928193,0.203435
LRa02_grain_86_5,2.72091,0.0556199,0.237197,266.133,5.71501,24.211,0.715077,0.00472544,0.00472544,0.411038,0.00848077,0.0361672,0.932431,0.200954
LRa02_grain_86_6,2.75176,0.0307817,0.237348,268.449,3.3295,24.193,0.71168,0.00506692,0.00506692,0.406452,0.00455157,0.0350957,0.791363,0.318622
LRa02_grain_86_7,2.55474,0.0349401,0.221268,252.947,4.05161,22.9016,0.722463,0.00488,0.00488,0.439313,0.00590951,0.0374236,0.865785,-0.00462698
LRa02_grain_86_8,2.8041,0.0340032,0.243544,275.023,3.60829,24.8427,0.714322,0.00449769,0.00449769,0.397043,0.00491419,0.0351974,0.842119,0.412569
LRa02_grain_87_1,2.63217,0.0325465,0.229239,277.102,3.7968,25.1425,0.7682,0.00442212,0.00442212,0.418147,0.00516252,0.0363617,0.868596,0.310887
LRa02_grain_87_10,3.34446,0.0368699,0.292429,351.303,4.14857,32.0716,0.76142,0.0047768,0.0047768,0.298191,0.00332935,0.0264063,0.819311,0.424636
LRa02_grain_87_2,2.63595,0.017223,0.231296,279.713,2.03607,25.336,0.774267,0.00419809,0.00419809,0.408852,0.00276295,0.037105,0.622773,0.477612
LRa02_grain_87_3,2.57373,0.0251369,0.229608,270.887,2.9259,25.105,0.765946,0.00394388,0.00394388,0.410985,0.004129,0.0377154,0.810391,0.337265
LRa02_grain_87_4,2.71524,0.0326639,0.229021,286.785,3.61353,25.4412,0.766173,0.00435974,0.00435974,0.38301,0.00450792,0.031607,0.84386,0.332499
LRa02_grain_87_5,2.70685,0.0261696,0.229155,285.799,3.2601,25.3111,0.76629,0.00397673,0.00397673,0.378703,0.00364947,0.0319568,0.793634,0.271933
LRa02_grain_87_6,2.9286,0.0383324,0.252402,307.364,4.09216,27.9474,0.762113,0.00586097,0.00586097,0.345481,0.00474686,0.031256,0.780013,0.436626
LRa02_grain_87_7,2.78051,0.0265795,0.247951,292.436,2.80174,27.2745,0.762908,0.00397391,0.00397391,0.359994,0.00362707,0.0338357,0.773065,0.471127
LRa02_grain_87_8,3.12951,0.0363265,0.273594,332.942,4.29936,30.35,0.770269,0.00424421,0.00424421,0.318919,0.00363022,0.0273411,0.869066,0.235767
LRa02_grain_87_9,3.26444,0.0352876,0.277632,346.619,4.18,30.863,0.770027,0.00489439,0.00489439,0.305351,0.00334114,0.0262871,0.804453,0.379235
LRa02_grain_88_1,2.5243,0.0290442,0.215716,273.197,3.84172,24.4748,0.785372,0.00452822,0.00452822,0.395943,0.00466993,0.0346843,0.877033,0.247412
LRa02_grain_88_2,2.04509,0.0444053,0.181857,216.624,4.98739,20.0927,0.773292,0.00302074,0.00302074,0.497181,0.0117597,0.0481604,0.974894,-0.197744
LRa02_grain_88_3,2.27227,0.0407892,0.199969,242.877,4.58352,22.2632,0.782547,0.00456136,0.00456136,0.445727,0.00846691,0.041509,0.929714,0.185562
LRa02_grain_88_4,2.09036,0.0283793,0.182763,223.755,3.18081,20.3763,0.784065,0.00507112,0.00507112,0.480905,0.00641023,0.0412818,0.872769,0.326484
LRa02_grain_88_5,2.28179,0.052339,0.203484,243.379,5.87155,22.6238,0.780983,0.00336053,0.00336053,0.447717,0.0108467,0.0421696,0.970838,-0.00768415
LRa02_grain_89_1,3.40216,0.155227,0.32927,367.501,18.7181,37.6677,0.783421,0.00389378,0.00389378,0.308649,0.0131982,0.0279962,0.993018,-0.397158
LRa02_grain_89_2,3.26286,0.0347277,0.278684,349.934,3.75216,31.1242,0.786663,0.004114,0.004114,0.308011,0.00324022,0.0260022,0.835497,0.216912
LRa02_grain_89_3,4.91597,0.23281,0.480032,538.837,26.2313,54.6516,0.800921,0.00370442,0.00370442,0.222235,0.0104854,0.0216199,0.994794,-0.468483
LRa02_grain_89_4,4.68398,0.138564,0.423035,520.301,15.8657,48.9078,0.810775,0.00377252,0.00377252,0.220159,0.00629632,0.0192226,0.982849,-0.158445
LRa02_grain_89_5,5.07589,0.123642,0.450931,562.92,14.3601,52.1414,0.812508,0.00329526,0.00329526,0.2021,0.00518474,0.0189091,0.980192,-0.0351316
LRa02_grain_89_6,3.91274,0.179557,0.379989,424.201,20.4278,42.9981,0.790408,0.0044359,0.0044359,0.278025,0.0128569,0.0272085,0.992277,-0.439153
LRa02_grain_89_7,4.40598,0.137096,0.401726,482.275,15.4117,45.7524,0.801136,0.00396841,0.00396841,0.236042,0.00756024,0.0221533,0.980327,-0.17167
LRa02_grain_90_1,5.2822,0.0435268,0.455422,560.049,3.42077,50.3744,0.777537,0.00418949,0.00418949,0.189722,0.00151868,0.0158901,0.709053,0.479095
LRa02_grain_90_2,5.23379,0.0421715,0.45331,557.489,3.77391,50.5796,0.780016,0.00371549,0.00371549,0.191526,0.00153788,0.016531,0.688006,0.382909
LRa02_grain_90_3,4.24511,0.0525442,0.361591,444.248,5.03558,39.1436,0.765415,0.00310186,0.00310186,0.236658,0.00275399,0.018952,0.901978,0.0726655
LRa02_grain_90_4,5.05959,0.0370577,0.430319,537.846,3.2468,47.2416,0.776058,0.00437129,0.00437129,0.197555,0.00148613,0.0172572,0.564622,0.510951
LRa02_grain_90_5,6.42501,0.0379103,0.551001,693.565,3.97317,61.9258,0.781866,0.00294403,0.00294403,0.15545,0.000899078,0.0130675,0.674167,0.235945
LRa02_grain_90_6,7.81462,0.13209,0.67776,857.397,15.0171,77.4659,0.793884,0.00389039,0.00389039,0.128994,0.00223932,0.01149,0.946717,0.125962
LRa02_grain_91_1,5.06641,0.11176,0.448677,569.878,13.6571,52.7252,0.814702,0.0152816,0.0152816,0.198923,0.00441687,0.0177321,0.632678,0.375978
LRa02_grain_91_2,3.55618,0.0553725,0.309564,395.145,6.38306,35.8127,0.808094,0.0101615,0.0101615,0.281323,0.00437403,0.0244533,0.616388,0.405587
LRa02_grain_91_3,3.21514,0.0595377,0.283251,361.512,7.96654,33.3653,0.814537,0.0106436,0.0106436,0.311758,0.00603939,0.0287324,0.768713,0.155858
LRa02_grain_91_4,3.21347,0.0525651,0.280584,357.466,5.44724,32.3896,0.805527,0.0074739,0.0074739,0.309873,0.00540592,0.0288559,0.821043,0.344195
LRa02_grain_92_1,2.67866,0.0585228,0.233761,282.461,7.10641,25.8874,0.763032,0.00447896,0.00447896,0.374107,0.0080279,0.0320662,0.957812,-0.148282
LRa02_grain_92_2,2.14984,0.046259,0.187759,222.569,6.11162,20.5753,0.74886,0.00559136,0.00559136,0.463669,0.00952122,0.0386454,0.935972,-0.240862
LRa02_grain_92_3,2.12618,0.0309825,0.187413,218.643,3.02243,19.9656,0.744495,0.00409015,0.00409015,0.464629,0.00695166,0.0420505,0.865379,0.25063
LRa02_grain_92_4,2.40714,0.0381428,0.211238,247.171,3.5058,22.3248,0.756453,0.00632112,0.00632112,0.411054,0.00662628,0.0366969,0.627825,0.361792
LRa02_grain_93_1,4.2369,0.145841,0.387939,460.339,16.1236,43.7891,0.791285,0.0050883,0.0050883,0.244355,0.00871085,0.023171,0.979003,0.0161692
LRa02_grain_93_2,2.50476,0.0564764,0.224781,260.401,5.92224,24.2884,0.756888,0.00414221,0.00414221,0.402156,0.00880048,0.0350266,0.960111,-0.0366516
LRa02_grain_93_3,2.31696,0.0890817,0.216252,241.642,10.5595,23.8964,0.752134,0.00493964,0.00493964,0.444302,0.0168065,0.0407989,0.987227,-0.41038
LRa02_grain_93_4,2.10242,0.0425256,0.183184,216.599,5.5147,19.9565,0.744605,0.00421211,0.00421211,0.477048,0.00989141,0.0426085,0.966444,-0.291045
LRa02_grain_93_5,2.40548,0.0418555,0.207874,253.066,4.65252,22.849,0.764836,0.00431689,0.00431689,0.418089,0.00732689,0.0363888,0.932374,0.0421185
LRa02_grain_93_6,2.14624,0.0425103,0.188007,222.351,4.60717,20.3055,0.744636,0.00385948,0.00385948,0.476312,0.00975909,0.0431607,0.966295,-0.00575023
LRa02_grain_93_7,1.75433,0.0210913,0.151603,179.845,2.26089,16.191,0.737878,0.00414276,0.00414276,0.580859,0.00700817,0.0503741,0.843636,0.232118
LRa02_grain_94_1,4.1554,0.132304,0.379825,432.355,13.4024,40.8616,0.750968,0.00880478,0.00880478,0.252796,0.00792145,0.0227413,0.924317,0.160803
LRa02_grain_94_2,4.67502,0.122448,0.418617,497.83,13.0424,46.2942,0.769144,0.00937091,0.00937091,0.223897,0.00615557,0.0210442,0.88489,0.208702
LRa02_grain_94_3,6.86967,0.203931,0.62291,766.989,23.5814,72.3997,0.806272,0.00830186,0.00830186,0.151665,0.00467396,0.0142767,0.938071,0.148073
LRa02_grain_95_1,2.14405,0.0491064,0.189566,219.085,4.9684,20.126,0.737503,0.00443745,0.00443745,0.486005,0.0104105,0.0401878,0.950548,0.100931
LRa02_grain_95_2,1.85181,0.0348227,0.161662,182.793,3.71646,16.6755,0.712625,0.00438502,0.00438502,0.560823,0.0103731,0.0481563,0.930628,0.0745578
LRa02_grain_95_3,1.90669,0.0204531,0.163779,187.573,2.05007,16.7881,0.712329,0.00380959,0.00380959,0.540943,0.00587448,0.0470401,0.805394,0.191388
LRa02_grain_95_4,1.85189,0.0171698,0.159959,182.362,1.65234,16.4844,0.711776,0.00471396,0.00471396,0.555116,0.00497625,0.0463603,0.667296,0.379785
LRa02_grain_95_5,1.73108,0.0301461,0.149489,168.389,2.81984,14.6662,0.706101,0.00503367,0.00503367,0.595344,0.00980045,0.0485986,0.920985,-0.0308256
LRa02_grain_96_1,8.00516,0.130179,0.703704,941.176,13.7521,85.965,0.852451,0.00346319,0.00346319,0.128904,0.00224085,0.0121133,0.946524,0.149814
LRa02_grain_96_2,8.81924,0.166856,0.785995,1032.55,19.4742,95.7031,0.848042,0.00307601,0.00307601,0.116891,0.00218858,0.0103096,0.965241,-0.080671
LRa02_grain_96_3,7.76671,0.24082,0.715471,904.652,26.2479,85.9747,0.845954,0.00370757,0.00370757,0.133251,0.00368342,0.0109434,0.987279,0.12124
LRa02_grain_96_4,8.32812,0.18168,0.746483,972.913,19.9354,90.6575,0.849202,0.00506525,0.00506525,0.123286,0.00275397,0.0113155,0.948694,0.0403026
LRa02_grain_96_5,8.84226,0.0989374,0.771435,1032.14,11.4279,93.866,0.847509,0.00340201,0.00340201,0.113842,0.00123235,0.00960888,0.893849,0.180288
LRa02_grain_96_6,10.702,0.119043,0.92039,1251.13,11.9796,111.983,0.843319,0.00356427,0.00356427,0.0931194,0.00104273,0.00806198,0.866402,0.235026
LRa02_grain_96_7,10.0318,0.186327,0.871722,1175.98,20.194,106.007,0.841446,0.00351039,0.00351039,0.10005,0.00189124,0.00884806,0.954964,0.0523944
LRa02_grain_96_8,10.2204,0.117593,0.87776,1210.65,12.0938,107.914,0.847737,0.00379944,0.00379944,0.0969014,0.00111114,0.008294,0.855869,0.272492
LRa02_grain_97_1,4.66166,0.0554976,0.391797,525.391,5.88681,45.9127,0.804183,0.00318086,0.00318086,0.211807,0.00249959,0.0176463,0.918223,0.116544
LRa02_grain_97_10,3.95183,0.0295965,0.336628,441.599,3.22647,38.9817,0.794553,0.00403837,0.00403837,0.251574,0.00185144,0.0210581,0.684205,0.383083
LRa02_grain_97_11,4.44027,0.0318464,0.381421,502.468,3.76025,44.9542,0.80923,0.00340565,0.00340565,0.224279,0.00159546,0.0191087,0.762944,0.258591
LRa02_grain_97_2,4.28494,0.0373339,0.355241,480.39,4.03875,41.3056,0.797676,0.00334793,0.00334793,0.229257,0.00203965,0.0194077,0.799437,0.268739
LRa02_grain_97_3,4.27999,0.0289073,0.3752,480.093,2.97427,44.2017,0.79581,0.00325362,0.00325362,0.228993,0.00154856,0.0200995,0.742521,0.389799
LRa02_grain_97_4,4.582,0.0343014,0.387033,517.977,4.41877,45.7639,0.801805,0.0031486,0.0031486,0.213773,0.00160111,0.0180658,0.788492,0.375658
LRa02_grain_97_5,3.7811,0.0314207,0.328489,418.214,3.94678,37.6505,0.782863,0.00365046,0.00365046,0.259013,0.00221252,0.0231308,0.774781,0.338882
LRa02_grain_97_6,3.54824,0.0291303,0.31088,394.79,3.80132,35.7051,0.787716,0.00360476,0.00360476,0.276681,0.0023078,0.024629,0.778982,0.390165
LRa02_grain_97_7,3.92928,0.0258275,0.323929,444.557,2.6128,38.6765,0.800661,0.00341246,0.00341246,0.250064,0.00166029,0.0208235,0.599918,0.295629
LRa02_grain_97_8,4.19425,0.0830503,0.363205,482.853,10.6936,43.7509,0.812479,0.00423141,0.00423141,0.237237,0.0044839,0.0196095,0.953486,0.0473709
LRa02_grain_97_9,4.21106,0.0773948,0.363789,478.035,9.17722,42.9922,0.80648,0.00333105,0.00333105,0.237864,0.00442089,0.0207801,0.955478,-0.0575288
LRa02_grain_98_12,4.02122,0.0741521,0.352369,411.534,8.81598,37.733,0.733234,0.0050529,0.0050529,0.250988,0.00460796,0.0218969,0.929224,0.0899139
LRa02_grain_98_13,3.60343,0.0482806,0.312205,355.327,5.27275,32.1273,0.725725,0.00446633,0.00446633,0.275365,0.00353038,0.0228291,0.872879,0.28235
LRa02_grain_98_14,3.75373,0.0943162,0.335803,377.047,10.0622,35.1647,0.738013,0.0045702,0.0045702,0.266365,0.00706566,0.0251565,0.964185,-0.0355293
LRa02_grain_98_15,2.46431,0.0404564,0.216095,242.339,4.24114,22.1146,0.721467,0.00462076,0.00462076,0.404688,0.00696141,0.0371839,0.917649,0.122292
LRa02_grain_98_16,2.59247,0.0557615,0.229862,254.062,6.01993,23.5086,0.716109,0.00502356,0.00502356,0.387357,0.00874603,0.0360532,0.943001,0.235086
LRa02_grain_99_1,4.11724,0.054895,0.355138,445.721,5.91833,40.0136,0.787884,0.00710514,0.00710514,0.240315,0.00320181,0.0207138,0.739301,0.649573
LRa02_grain_99_2,4.88507,0.0603311,0.418933,533.861,7.69994,48.0335,0.79648,0.00374862,0.00374862,0.202112,0.00247852,0.0172106,0.918775,0.235898
LRa02_grain_99_3,3.53663,0.0417422,0.30279,380.657,5.04017,34.1528,0.781047,0.00379181,0.00379181,0.28002,0.00341652,0.0247828,0.900335,0.221375
LRa02_grain_99_4,3.56009,0.0469394,0.311278,389.909,4.95707,35.3784,0.793453,0.00489044,0.00489044,0.278126,0.00360151,0.0238833,0.847685,0.327018
LRa02_grain_99_5,4.3408,0.0594618,0.379151,477.757,7.6104,43.4653,0.793932,0.00395934,0.00395934,0.228769,0.00310508,0.0197992,0.92081,0.156691
LRa02_grain_38_1,4.29592,0.18086,0.409802,436.281,16.9646,42.5296,0.767633,0.0253943,0.0253943,0.248374,0.0104744,0.0237334,0.622246,0.382951
LRa02_grain_38_2,4.30608,0.199503,0.414059,439.877,20.0434,43.4896,0.752215,0.0149776,0.0149776,0.250823,0.0101696,0.0211066,0.833686,0.130113
LRa02_grain_38_3,2.89041,0.0554188,0.255402,279.629,4.3328,25.0902,0.726153,0.00809386,0.00809386,0.350598,0.00644071,0.0296826,0.669691,0.492915
LRa02_grain_38_4,2.95765,0.0499377,0.252524,297.488,6.41061,26.6963,0.737106,0.00648219,0.00648219,0.341309,0.00585767,0.029621,0.822353,0.221973
LRa02_grain_38_5,3.09703,0.0761758,0.271179,313.661,9.20571,29.0322,0.736112,0.00538875,0.00538875,0.327156,0.00743466,0.0264668,0.948769,-0.12549
LRa02_grain_82_3,1.69558,0.0255347,0.148654,154.015,2.08732,13.9994,0.665297,0.00548159,0.00548159,0.597702,0.00879814,0.0512196,0.815947,0.296365
LRa02_grain_82_1,1.48723,0.0442928,0.134405,136.726,4.38068,12.9199,0.673496,0.00576434,0.00576434,0.704254,0.0211396,0.0641476,0.96553,-0.226905
LRa02_grain_82_2,1.35072,0.0196985,0.117137,120.245,1.49745,10.803,0.652793,0.00489419,0.00489419,0.752154,0.0108226,0.0643569,0.838916,0.266386
91500-1,0.151703,0.00126848,0.01305,1.57754,0.0296656,0.143903,0.0748092,0.00147925,0.00147925,6.5954,0.0576636,0.593236,0.134406,0.262614
91500-10,0.121522,0.00102631,0.0101476,1.22957,0.0236711,0.112636,0.0739534,0.00147169,0.00147169,8.84524,0.073906,0.730747,0.121182,0.281723
91500-11,0.18497,0.00166515,0.0163896,1.96517,0.035993,0.179139,0.0757495,0.00138643,0.00138643,5.47413,0.0474795,0.467324,0.327608,0.122271
91500-12,0.159986,0.00128972,0.0137141,1.6588,0.0291565,0.150734,0.0750312,0.00138594,0.00138594,6.26681,0.0503484,0.535374,0.207436,0.201712
91500-13,0.162683,0.00136017,0.013957,1.67933,0.0302341,0.152715,0.0762703,0.00152817,0.00152817,6.14116,0.0503253,0.516401,0.115633,0.270609
91500-14,0.23546,0.00203258,0.0222388,2.44899,0.0485223,0.227031,0.0758979,0.00151752,0.00151752,4.75077,0.0378176,0.41377,0.198307,0.238241
91500-15,0.140154,0.00102028,0.0119995,1.45466,0.0264531,0.132413,0.0749735,0.00132908,0.00132908,7.26282,0.0527765,0.620705,0.187484,0.180406
91500-16,0.171853,0.00138168,0.0148281,1.77663,0.0296248,0.161481,0.0749819,0.00127971,0.00127971,5.83419,0.0472945,0.507561,0.166808,0.316427
91500-17,0.142479,0.00110968,0.0122752,1.47421,0.0237621,0.133644,0.0751741,0.00126386,0.00126386,6.98728,0.0549757,0.608135,0.163113,0.342732
91500-18,0.165281,0.00117849,0.0142052,1.70198,0.0232529,0.153608,0.0762586,0.00114753,0.00114753,6.0471,0.0430206,0.518559,0.094085,0.378333
91500-19,0.15968,0.00131618,0.0137118,1.64231,0.0306789,0.149652,0.0751238,0.00135457,0.00135457,6.25366,0.0520028,0.54176,0.242435,0.226937
91500-2,0.150586,0.00117424,0.0129443,1.59618,0.0267633,0.144817,0.0758765,0.00135919,0.00135919,6.64304,0.0510104,0.562315,0.128983,0.270454
91500-20,0.166118,0.00122312,0.0143179,1.71445,0.0280195,0.155703,0.0750438,0.00128421,0.00128421,6.04199,0.0447265,0.52357,0.121432,0.317094
91500-21,0.151287,0.00114928,0.0133552,1.5876,0.0266345,0.143905,0.0753705,0.0012971,0.0012971,6.60911,0.049675,0.577249,0.158691,0.310495
91500-22,0.156629,0.00133963,0.0135746,1.61947,0.0268677,0.14707,0.0749699,0.00125495,0.00125495,6.39339,0.05426,0.54982,0.258795,0.292018
91500-23,0.203108,0.00188604,0.0185019,2.35366,0.0534601,0.222875,0.0841881,0.00167746,0.00167746,5.12239,0.0472499,0.463519,0.519138,-0.082789
