,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
LRa02_grain_102_2,3.1669,0.0526127,0.274607,323.078,6.63164,29.459,0.743334,0.00537703,0.00537703,0.335065,0.00558304,0.0291402,0.917676,0.0195282
LRa02_grain_102_3,3.56357,0.0378729,0.302309,370.611,4.51919,32.8314,0.759192,0.00409597,0.00409597,0.299765,0.00329694,0.0263168,0.867227,0.261568
LRa02_grain_102_4,4.4423,0.0681039,0.38827,473.318,8.73116,43.5747,0.779027,0.00426409,0.00426409,0.242099,0.00370922,0.0211468,0.811567,0.324671
LRa02_grain_102_5,3.75912,0.0597638,0.329759,393.779,6.54282,36.0633,0.760882,0.00379011,0.00379011,0.289169,0.00475474,0.0262353,0.93949,0.263874
LRa02_grain_102_6,3.40651,0.0617689,0.297677,349.047,7.49896,32.036,0.739944,0.00401507,0.00401507,0.320478,0.00635565,0.0306292,0.954169,-0.171036
LRa02_grain_103_1,5.74099,0.111934,0.502803,624.873,17.3327,58.2194,0.799718,0.00757464,0.00757464,0.187716,0.00363502,0.0163284,0.845081,0.0332912
LRa02_grain_103_2,4.84302,0.0481442,0.419264,535.007,7.01089,47.723,0.796026,0.00495034,0.00495034,0.22025,0.00223204,0.0194378,0.780065,0.0971744
LRa02_grain_103_3,3.71677,0.0601863,0.321282,383.851,6.41242,34.187,0.753539,0.00668418,0.00668418,0.283893,0.00460267,0.0245696,0.775411,0.544617
LRa02_grain_103_4,3.6692,0.03871,0.313835,391.422,5.49375,34.2495,0.770252,0.00628615,0.00628615,0.282673,0.00302881,0.0245556,0.627299,0.449205
LRa02_grain_104_1,0.381826,0.00942016,0.0329228,16.2959,0.645712,1.57352,0.307808,0.00882901,0.00882901,2.71277,0.0702865,0.245646,0.566962,-0.00351567
LRa02_grain_104_2,0.257279,0.00741345,0.0231735,9.14411,0.664791,1.05173,0.256078,0.0147485,0.0147485,4.12061,0.115943,0.362423,0.757642,-0.45417
LRa02_grain_104_3,0.617915,0.0350743,0.0634669,46.9014,3.80806,5.65661,0.526807,0.0164791,0.0164791,1.94347,0.124075,0.224513,0.980868,-0.889344
LRa02_grain_104_4,0.438296,0.0399067,0.0547566,28.4305,4.27116,4.96711,0.410774,0.0257514,0.0257514,2.91115,0.182157,0.24994,0.989869,-0.906126
LRa02_grain_104_5,2.35779,0.086952,0.219451,238.501,9.40814,23.2392,0.751038,0.0093197,0.0093197,0.447584,0.0196854,0.0496825,0.949215,-0.402057
LRa02_grain_105_1,2.27355,0.0360171,0.19768,235.743,3.6811,21.4078,0.765888,0.00771272,0.00771272,0.453572,0.00674322,0.0370104,0.747769,0.546578
LRa02_grain_105_2,2.19474,0.0409169,0.189026,224.559,4.36145,20.1901,0.757157,0.00501288,0.00501288,0.470876,0.00882132,0.0407523,0.924765,0.306472
LRa02_grain_105_3,2.48045,0.027107,0.208073,254.696,3.04438,22.443,0.760997,0.00398875,0.00398875,0.40897,0.00429523,0.03297,0.826909,0.366124
LRa02_grain_105_4,2.76142,0.0256326,0.237751,286.721,3.45406,26.2348,0.77003,0.00445729,0.00445729,0.364333,0.0033594,0.0311596,0.652054,0.212803
LRa02_grain_105_5,3.03619,0.0331945,0.267548,320.806,3.76269,28.3189,0.778045,0.00422028,0.00422028,0.328059,0.0033275,0.0268197,0.860725,0.249513
LRa02_grain_106_1,6.63316,0.118809,0.576953,763.852,15.3927,69.4574,0.852417,0.005853,0.005853,0.151119,0.00261209,0.0126847,0.931394,0.168755
LRa02_grain_106_2,5.45389,0.142771,0.488426,620.129,18.4927,58.331,0.837776,0.00654265,0.00654265,0.186605,0.00508197,0.0173856,0.952532,-0.0485433
LRa02_grain_106_3,11.4428,0.300153,1.00193,1364.12,35.5772,126.757,0.881578,0.00630694,0.00630694,0.0886004,0.00233652,0.00779944,0.956041,0.141403
LRa02_grain_106_4,4.9273,0.138165,0.438036,579.376,16.8399,53.6341,0.86747,0.00695822,0.00695822,0.205137,0.00557226,0.0176662,0.96166,-0.0594034
