,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U
Acropolis,,,,,,,,,,,,,,
LRa01_grain_56_7,1.7817,0.0179237,0.159446,184.673,1.69081,35.1966,0.750822,0.00311998,0.00350809,0.568588,0.00552578,0.0491563,0.215357,0.949237
LRa01_grain_57_1,5.26456,0.0697581,0.475442,592.999,7.75763,113.497,0.81461,0.00515607,0.0054418,0.192104,0.00255105,0.0173869,0.196423,0.889093
LRa01_grain_57_2,4.52563,0.206437,0.453566,502.167,23.8812,98.8042,0.802292,0.00723179,0.00743209,0.24188,0.0118661,0.0260713,-0.177945,0.980806
LRa01_grain_57_3,5.82645,0.154389,0.543207,648.072,17.4171,125.133,0.813932,0.00466031,0.00497409,0.172991,0.00499138,0.0175618,-0.0630758,0.973871
LRa01_grain_58_1,2.09561,0.0324137,0.1901,213.749,3.25604,40.967,0.746804,0.00394586,0.00425615,0.471854,0.00707196,0.0414756,0.221662,0.93999
LRa01_grain_58_2,2.16696,0.049982,0.200171,219.208,4.95754,42.2423,0.741327,0.0031555,0.00353058,0.460203,0.0104671,0.0419192,0.20096,0.980997
LRa01_grain_58_3,2.35178,0.0372849,0.213694,238.487,3.60215,45.7842,0.743808,0.0029407,0.00334251,0.420681,0.00625722,0.0358624,0.225235,0.973591
LRa01_grain_58_4,2.41181,0.0445984,0.220448,246.71,4.62745,47.4619,0.748652,0.00342123,0.00377656,0.410878,0.0075007,0.0370756,0.09531,0.971714
LRa01_grain_58_5,2.19878,0.0370935,0.200372,223.012,3.5329,42.8608,0.746591,0.00279177,0.0032152,0.450451,0.0073752,0.0398394,0.0562719,0.982756
LRa01_grain_58_6,2.33463,0.0274812,0.210794,239.993,2.45614,45.9998,0.757674,0.00316267,0.00355276,0.423019,0.00462206,0.0354534,0.0771862,0.956383
LRa01_grain_58_7,2.66492,0.0296152,0.240554,277.363,2.87495,53.1972,0.764671,0.00314643,0.00354517,0.370628,0.00387583,0.031482,0.181944,0.948326
LRa01_grain_59_1,4.21757,0.0563086,0.380324,462.409,5.61075,88.341,0.805714,0.00444334,0.00476504,0.23463,0.00320332,0.0216361,0.491782,0.918462
LRa01_grain_59_2,3.13839,0.0634927,0.288122,338.353,6.67005,65.0882,0.791212,0.00466869,0.00496521,0.319182,0.00674834,0.0306232,0.18083,0.95473
LRa01_grain_61_1,4.80348,0.0547574,0.43402,518.443,6.04915,99.4179,0.792083,0.00330764,0.00371529,0.206044,0.00242285,0.0192041,-0.0346707,0.950297
LRa01_grain_61_2,3.96167,0.0742327,0.362498,415.747,7.82476,79.8987,0.770047,0.00307668,0.00348881,0.251476,0.00460159,0.0224708,-0.120746,0.98202
LRa01_grain_61_3,3.88236,0.059463,0.352666,409.018,5.42742,78.3827,0.776358,0.00363646,0.00399678,0.256285,0.00347628,0.0206173,0.241256,0.958311
