Grain,Al,Al_se,Ba,Ba_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
Illmenite_04,,,,,,,,,,,0.18115796252688324,9.98686854945056e-06,,,,,0.017776354702674416,2.7481971098830083e-06,0.0019515685474518645,2.0899909861214976e-06,0.6365328104226757,1.760339652040766e-05,,,,,,,0.1625813038003148,8.728024723563513e-06,,,,,,
Hematite_Elba_03,,,,,,,,,,,0.39551533853576604,1.2670088124232535e-05,,,,,,,,,0.604484661464234,1.2670088124232562e-05,,,,,,,,,,,,,,
Hematite_Elba_04,,,,,,,,,,,0.39558563395564245,1.2724617702857365e-05,,,,,,,,,0.6044143660443575,1.2724617702857367e-05,,,,,,,,,,,,,,
Magnetite_oxpuck_03,0.0022271103757709617,4.202636269569872e-06,,,,,,,,,0.4212575916090168,1.2701048212617964e-05,,,,,,,,,0.5755077037572808,1.2687243518132985e-05,,,,,0.0006772373039664356,2.0829646293281614e-06,0.00033035695396503204,1.208540128641856e-06,,,,,,
Magnetite_oxpuck_04,0.002583549513969479,4.293915364294381e-06,,,,,,,,,0.42229840902340743,1.2526126456284385e-05,,,,,,,,,0.5740439394044209,1.2719924824677099e-05,,,,,0.0006771354525304886,2.070959592499522e-06,0.0003969666056717404,1.1867287317345865e-06,,,,,,
LRa01_grain_01,0.0025780309682523804,4.217531615013153e-06,,,,,,,,,0.4223032470117684,1.2653115912337993e-05,,,,,,,,,0.5740478874581704,1.2728512446948888e-05,,,,,0.0006734181079714644,2.0440454093762924e-06,0.00039741645383738954,1.209350319480532e-06,,,,,,
LRa01_grain_02,0.010845518874317511,4.0792277642514716e-06,,,0.0010441724709471928,1.349740428215323e-06,,,,,0.3476729850465784,1.1477032758543572e-05,0.0030533451286481367,1.419444808575927e-06,,,,,,,0.6104158657071898,1.2848981996447892e-05,,,,,0.022217147849870136,3.867781845911746e-06,0.004052428009115781,2.2949529844013727e-06,0.0006985369133331315,2.117323062026373e-06,,,,
LRa01_grain_03,0.0006710509124420334,2.0477925911508007e-06,,,,,,,,,0.36387328194104657,1.3036843995118231e-05,,,,,,,,,0.6036427780504616,1.3976689648952886e-05,,,,,,,0.030445587274830776,3.536656331044277e-06,0.0013673018212189871,2.139250473379365e-06,,,,
LRa01_grain_04,0.0020768644871853215,4.1590322600403645e-06,,,,,,,,,0.39239288656121135,1.2872351424983614e-05,,,,,,,,,0.5971203806257805,1.321660123215955e-05,,,,,0.004759109419501253,2.036762017323024e-06,0.0029194141997869673,2.333004028946296e-06,0.0007313447065344798,1.0971084480089838e-06,,,,
LRa01_grain_05,0.009903470369053362,3.9961141115705646e-06,,,0.0005941874385359053,1.3370887710797127e-06,,,,,0.3413232216574246,1.1426280678378064e-05,0.0003801345917226129,1.375452766466908e-06,0.007942093186351118,4.418740206580171e-06,0.001135078463348274,1.970087263312596e-06,,,0.6153571661350719,1.3034536211807694e-05,,,,,0.017122163168980714,3.836841613926906e-06,0.005893709686025062,2.2316512531686335e-06,0.00034877530348650443,2.1104961619479793e-06,,,,
LRa01_grain_06,,,,,,,,,,,0.3941920969228127,1.1464564213478615e-05,,,,,,,,,0.6009737742578117,1.1609203370784948e-05,,,,,0.004834128819375575,2.002880303373381e-06,,,,,,,,
LRa01_grain_07,0.0022987768579157053,3.8752322657660916e-06,,,0.0005879117225141424,1.3071116313511817e-06,,,,,0.3464734003876503,1.2492706024045813e-05,,,,,0.002251291589250077,1.931614575102188e-06,,,0.6139831602752672,1.371936424148776e-05,,,,,0.003463713419331486,1.9221624801700997e-06,0.026368113909721266,2.3752354692418715e-06,0.00457363183834985,2.1480555023364965e-06,,,,
LRa01_grain_08,0.008593027396957517,3.942799521755873e-06,,,0.0005201812551924888,1.353838751121059e-06,,,,,0.3584207809450475,1.150883782666522e-05,0.0006093337816811407,1.3769399721055156e-06,,,,,,,0.6151816897307046,1.2466542904936751e-05,,,,,0.012808171000183013,3.8010573144959436e-06,0.002173001739380472,1.12747729086593e-06,0.0016938141508532694,2.1611775709243195e-06,,,,
LRa01_grain_09,0.00564542609606491,4.050292810974071e-06,,,0.0006083690092939893,1.3771626673261483e-06,,,,,0.3772641780589199,1.2450258016569352e-05,0.0005444977543646632,1.4387804101509252e-06,,,,,,,0.6036640284764484,1.3221584484526915e-05,,,,,0.009436640923167264,3.920364416799835e-06,0.002418462125062164,1.137482305554762e-06,0.0004183975566787915,1.1015296571914454e-06,,,,
LRa01_grain_10,0.000697152165474402,2.092441212842055e-06,,,,,,,,,0.40030863020214,1.1770752949848662e-05,,,,,,,,,0.5958880469317639,1.2026578545456659e-05,,,,,0.0031061707006216585,2.0566574727964846e-06,,,,,,,,
LRa01_grain_11,0.00999676974688349,4.078910884167005e-06,,,0.0004445991976265262,1.3608210244488758e-06,,,,,0.35588060772824226,1.1616790046345e-05,0.00045477429247284864,1.3849854162473255e-06,,,,,,,0.6150003878687565,1.2588923622912041e-05,,,,,0.015507707286839546,3.7662958051926002e-06,0.0016703188431331875,1.1272779494240323e-06,0.0010448350360455932,1.064578293195034e-06,,,,
