Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se,Ba,Ba_se,Cr,Cr_se,Ni,Ni_se
BRc_grain_89,0.5942634022935201,0.000481978335233888,,,,,43.286523815006774,0.001884958756765912,,,,,,,,,55.47790837820495,0.001917249885942822,,,,,0.41803759384069306,0.00045617463026507353,,,0.22326681065406875,0.00027022202431128105,,,,,,,,,,,,
BRc_grain_90,1.3229597741574641,0.0006714075870432066,,,,,37.27210863320444,0.0017103070200758105,,,,,0.26862510202304896,0.00032416303498396595,,,58.45298599439581,0.0018830698081079265,,,,,2.1121066646787154,0.0006277430831120746,,,0.5201316055503218,0.00025622156510814696,0.05108222599019927,0.00022831872462374873,,,,,,,,,,
BRc_grain_91,0.501681758827724,0.00033926510035497677,,,,,15.909457934437238,0.0013525279180269941,,,,,0.09129714945907245,0.0002541545891132833,,,67.57385519656768,0.0024397161512334595,,,,,0.08984239861141843,0.00032392467581036536,,,15.661183850091367,0.0012702993907461318,0.1726817120055066,0.00036435276185644227,,,,,,,,,,
BRc_grain_92,0.18701733892536307,0.00034225885075960845,,,,,12.923541473229719,0.0011643541245306395,,,,,0.08716652710005345,0.0002458433177347237,,,67.51648388683829,0.002397718832688331,,,,,0.06316114404949795,0.0003238179478841626,,,19.222629629857085,0.001458779056200612,,,,,,,,,,,,
BRc_grain_93,1.6122929375314878,0.0007181601895461797,,,,,41.07960452598237,0.0018194040330989886,,,,,,,,,54.99871144457328,0.001972488621906018,,,,,2.2991406763840985,0.0006879301497659374,,,0.010250415528764207,0.00020202153875535184,,,,,,,,,,,,
BRc_grain_94,1.1634069929788984,0.000617716426373081,,,,,33.389087685618804,0.001683554290037547,,,,,0.21876556754007398,0.0002998139469734231,,,60.74150192575611,0.001913491414613682,,,,,1.293538398759792,0.00039292046603517264,,,3.0675449039491003,0.00048238389039705553,0.12615452539721483,0.0002163948474347652,,,,,,,,,,
BRc_grain_95,0.3562505589871004,0.00038063941662973256,,,,,15.511064914111389,0.0014971043424007653,,,,,0.7774165697691335,0.00038636608726012726,,,63.1502485541578,0.003109406573217982,,,,,0.05039501820982964,0.0003721635655619747,,,19.927554815157837,0.0017575347138572431,0.22706956960691027,0.000414889214874528,,,,,,,,,,
BRc_grain_98,0.8008593425129216,0.0006566379713561838,,,,,37.604670688770284,0.00169030229475323,,,,,0.13466040864703577,0.00032289148683382847,,,59.5437286242979,0.001813556587551178,,,,,1.1946772889668522,0.0004117508214870829,,,0.7214036468050113,0.00025095943867900825,,,,,,,,,,,,
BRc_grain_99,0.892767627151482,0.0006245982477758756,,,,,31.98060110277853,0.0018709644715587954,,,,,0.5380685992503778,0.0003025449140161732,,,60.4776992710965,0.002233997222879919,,,,,0.1295781939736316,0.0003926508975071137,,,5.640053122179346,0.0006117287846437502,0.34123208357013607,0.00032673292210314285,,,,,,,,,,
BRe_grain_01,,,,,,,34.58503878220432,0.0011439572924143656,,,,,,,,,64.36448725764562,0.0011968463376071268,,,,,1.0504739601500457,0.00043915332298012183,,,,,,,,,,,,,,,,
