Grain,Fe,Fe_se,O,O_se,Ti,Ti_se,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Mn,Mn_se,P,P_se,Si,Si_se,V,V_se,Ca,Ca_se,Nb,Nb_se,W,W_se,K,K_se,Ni,Ni_se,S,S_se,Phase_Class,Cl,Cl_se,Mg,Mg_se,Zn,Zn_se,Sr,Sr_se
BRc_grain_85,0.3643742627502289,1.830698852441679e-05,0.5832776500992474,2.0456438515511113e-05,0.0304254303613531,3.9119092415764234e-06,0.008399993131861568,4.507598236317524e-06,,,,,0.005930807980077958,3.323469064571466e-06,,,0.0075918556772311034,4.315571419919893e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_88,0.37913996543208595,1.7778985385824777e-05,0.5983809475820696,1.872631102584775e-05,0.010439614074020729,3.6209826782057826e-06,0.005169334396417524,4.29181254287803e-06,,,,,,,,,0.006870138515406277,4.10378621469889e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_94,0.33387311590273655,1.698405883055015e-05,0.6074061545231338,1.9198501048414823e-05,0.03068650178140074,4.7349762021188974e-06,0.011644864486211316,6.137951383579417e-06,,,,,0.002185267991017791,3.1262624006115265e-06,,,0.01293528692517619,4.0013583663069346e-06,0.0012688083903234452,2.1662041940720997e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_99,0.3198439691179457,1.8355440354811754e-05,0.6047261624574052,2.2132465888428806e-05,0.056401822936329796,6.389879206706517e-06,0.008930697501212767,6.254820788014114e-06,,,,,0.005382345496128273,3.0644972660822224e-06,,,0.0012998003447639882,4.016344265900003e-06,0.003415202146214307,3.351144108801225e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_100,0.28715159234207527,1.7387876673254615e-05,0.6175350598593272,2.2014619451233865e-05,0.07760537478401812,6.695439118479681e-06,0.007934565828378013,4.060233232293561e-06,,,,,0.002215543606269859,2.9665342030012214e-06,,,0.00498205202404638,3.7721355133477627e-06,0.0025758115558850744,3.210523364115418e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_103,0.3253631686429129,1.8716534253545532e-05,0.6105997944426771,2.171163818232008e-05,0.050615126044354794,5.18673969655636e-06,0.00784420950291853,6.0516927181590085e-06,,,,,,,,,0.0018308685272303675,3.849719367257512e-06,0.003746832839906322,3.337280214414274e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_104,0.3610063664305047,1.763414264726719e-05,0.5881884823833619,1.930420972982905e-05,0.015249779974916923,3.7767408580621214e-06,0.026695112894867597,6.590376259284363e-06,,,0.00297137566936416,2.2713470956799362e-06,0.0010562932284178042,3.16714223432487e-06,,,0.0016110215368078291,4.2264449621347334e-06,0.003221567881759126,2.3203101272856475e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_110,0.30602861432506995,1.9053842620426327e-05,0.5982381062007612,2.3440238045874403e-05,0.08579892195242549,7.106564209722082e-06,0.002748270067035864,4.168483788015395e-06,,,,,0.004261605771027158,3.0274595376454606e-06,,,0.00043949608960823164,3.968592264884531e-06,0.002484985594072089,3.328320262323438e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_111,0.3652459281068988,1.920098924962918e-05,0.5815115505892078,2.1563272646932893e-05,0.023446205250757746,3.822213250602107e-06,0.018653445733138117,6.542143735874557e-06,,,,,,,,,0.003518376832612891,4.237672577413355e-06,0.007624493487384633,3.57735113532192e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_113,0.30360148142674687,1.810641142813496e-05,0.6083644081478847,2.1713319276888938e-05,0.06839793228472892,6.342440924784777e-06,0.011545040911118704,6.111704961751115e-06,,,,,0.003106458831629923,3.0070193645533634e-06,,,0.0016301052268479174,3.905381575002057e-06,0.0033545731710429294,3.2596533855688687e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_116,0.3018361752797272,1.8317586956899023e-05,0.6067619931889735,2.2712618213566716e-05,0.07180002334774359,6.75526267644531e-06,0.006123829824281335,4.160550008739468e-06,,,,,0.0045091854499545395,3.0191942455149507e-06,,,0.004466021866946838,3.985998465899628e-06,0.004502771042372865,3.2808996257302475e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_117,0.35268439078230296,1.813603602570614e-05,0.5964664963185687,2.0329238177395295e-05,0.03930641558704574,5.082733919930391e-06,0.010077574505324769,6.448098199181074e-06,,,,,,,,,0.0014651228067577098,4.04514501015815e-06,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_120,0.2978225596060014,1.7853007860897514e-05,0.6175403636533473,2.1807056973241693e-05,0.06514867242397854,6.1923423909208136e-06,0.012937674397641926,5.922754272555428e-06,,,,,0.0014516881479067578,2.9896546155569023e-06,,,0.0035912022589634253,3.837904696714204e-06,0.001507839512160583,3.173447496843171e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_121,0.26512842498537337,1.2929652300736239e-05,0.6164064425350434,1.7405308652150317e-05,0.09904009194232136,5.969065611488022e-06,0.002259103683422469,2.102279919153761e-06,,,,,0.014127937830847028,3.0237750236770735e-06,,,0.0008700454646378972,1.9542075883054717e-06,0.001253808292633209,2.217213393129958e-06,0.0009141452657212743,1.3909550632897865e-06,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_122,0.2844169511314613,1.2984700842744985e-05,0.6212441612237728,1.619403394247753e-05,0.08243390125958133,5.459059097126109e-06,0.0024972374688219377,2.1007812340922916e-06,,,,,0.004955560454678462,2.03910201181686e-06,,,0.003918201085018321,2.0444675607927777e-06,,,0.0005339873766658125,1.370812868396599e-06,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_123,0.37487104259327875,1.316489585161491e-05,0.5978591450949502,1.4181482311811194e-05,0.011673473662024723,2.538797797066741e-06,0.0048069502584624346,4.2900836981821415e-06,,,,,,,,,0.00972315754696377,4.193281710784453e-06,,,0.0005675155429225078,1.4850904045143873e-06,,,,,0.0004987153013976391,1.5161215687233643e-06,,,,,titanohematite,,,,,,,,
BRc_grain_124,0.3522818318314409,1.235936674769159e-05,0.6038289677643052,1.357475088228145e-05,0.010131207780850382,2.387575897824316e-06,0.007886506133661998,4.23348518692455e-06,,,,,0.0011431232489116667,2.063268710878743e-06,,,0.02005728338620386,4.075430900667706e-06,,,0.0019517709819523892,1.4169160617854205e-06,,,,,0.002719308872673749,1.4582024984134658e-06,,,,,titanohematite,,,,,,,,
BRc_grain_130,0.3106179097785608,1.2701309070771667e-05,0.6117005623954339,1.5059402582587176e-05,0.07409169996755292,4.32565287008364e-06,,,,,,,0.003204889834789101,2.056301744386529e-06,,,,,,,0.0003849380236632391,1.4044868015256514e-06,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_136,0.2697205214975179,1.196944313100836e-05,0.6392628453357113,1.5015886384267262e-05,0.08164364108319959,5.015309614694564e-06,0.004311235493451739,3.913946209210561e-06,,,,,,,,,0.004552494198428824,1.9429544180537204e-06,,,0.0005092623916905716,1.356017383794609e-06,,,,,,,,,,,titanohematite,,,,,,,,
BRc_grain_141,0.35328877694594335,1.2478817308219973e-05,0.6113614755518004,1.357412928743192e-05,0.021408362425524484,2.40173788608636e-06,0.004070440614646308,4.195127147796288e-06,,,,,0.0010829468759129088,2.026176958434484e-06,,,0.007921296405721806,4.078641189099724e-06,,,0.0006252975972072843,1.3993157818446454e-06,,,,,0.0002414035832434557,1.4660000975343396e-06,,,,,titanohematite,,,,,,,,
BRc_grain_144,0.3497274475375661,1.327255633954526e-05,0.6013119687749985,1.4732433230642384e-05,0.040011044392194606,3.8688017144996726e-06,0.003124680072934809,4.452448459024405e-06,,,,,,,,,0.0054215630290502205,2.091078445438924e-06,,,0.0004032961932556883,1.5063045756369932e-06,,,,,,,,,,,titanohematite,,,,,,,,
