Grain,Al,Al_se,Ca,Ca_se,Fe,Fe_se,K,K_se,Mn,Mn_se,Nb,Nb_se,Ni,Ni_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
BRc_grain_132,0.004721099344674067,4.2817582983242505e-06,0.0008703232871651944,1.4568956108048741e-06,0.37393336950480077,1.3233571150103046e-05,0.0004906181573111869,1.5051618311054382e-06,0.0015647162434756024,2.1329895924980534e-06,,,,,0.6036547331191742,1.4067339459249168e-05,,,,,0.00917969019769423,4.081095331762513e-06,0.005585450145704805,2.3919041041492023e-06,,
BRc_grain_133,0.0062859814850653,4.418074482409656e-06,0.0013036554388048524,1.4967415557657822e-06,0.37249635869553865,1.2208499063025276e-05,0.00041873001993401,1.579699879536431e-06,0.0030271953658508933,2.1862923727431956e-06,,,,,0.5974905459273572,1.3171231952923406e-05,,,,,0.014409982120483989,4.21316353512274e-06,0.004567550946965041,2.473333788588614e-06,,
BRc_grain_134,0.0019266314400159222,2.309870835804864e-06,0.0002581913123462208,1.5833543226701094e-06,0.41482637443244574,1.3309793012821753e-05,,,,,,,,,0.573943060794264,1.3615800291885498e-05,,,,,0.0025949460994273343,2.279310088084732e-06,0.006450795921500711,2.6407953026038247e-06,,
BRc_grain_135,0.0035394948809443897,4.711046666746019e-06,0.0007040924127633119,1.6295451554552142e-06,0.41565943521609877,1.3551678449383761e-05,,,,,,,,,0.5685410539541346,1.4155251782238844e-05,,,0.0005489074718458443,2.019940979217436e-06,0.006798319036035247,2.2703604138622865e-06,0.0042086970281778316,1.3516357179624253e-06,,
BRc_grain_136,0.004311235493451739,3.913946209210561e-06,0.0005092623916905716,1.356017383794609e-06,0.2697205214975179,1.196944313100836e-05,,,,,,,,,0.6392628453357113,1.5015886384267262e-05,,,,,0.004552494198428824,1.9429544180537204e-06,0.08164364108319959,5.015309614694564e-06,,
BRc_grain_137,0.010495763756526666,4.32675780755612e-06,0.0007317115669491298,1.4875616882558195e-06,0.3709008200302846,1.203289877926988e-05,0.0017470052583864932,1.5248513717921258e-06,,,,,,,0.5957020118717062,1.2767881416521487e-05,,,,,0.01831268953191283,4.135088412625049e-06,0.002109997984234009,1.2294298570879513e-06,,
BRc_grain_138,0.0006620264997395456,4.056360668372939e-06,,,0.36959861359818275,1.2036911893960163e-05,,,,,,,,,0.6277201726777707,1.2309531580031252e-05,,,,,0.0017065430205261648,1.8963242428874159e-06,0.00031264420378072217,1.1269583889371388e-06,,
BRc_grain_139,0.005742326034716169,4.446332171050037e-06,0.0008239129237540486,1.4982982880329306e-06,0.385708509608082,1.2309168804069893e-05,0.00033782647843282634,1.4974905223887352e-06,,,,,,,0.5926086599370353,1.2995672170587077e-05,,,,,0.012438134690152952,4.2641461959910086e-06,0.0023406303278267213,1.2628840965187256e-06,,
BRc_grain_140,0.005743215006411551,4.483461937106228e-06,0.000821908949614431,1.5071437316448513e-06,0.38570689770873484,1.2447230016184071e-05,0.00033811385253031557,1.5292533341619665e-06,,,,,,,0.592611393911909,1.319427670341608e-05,,,,,0.012434764664203264,4.237294153828928e-06,0.0023437059065966,1.210083068170464e-06,,
BRc_grain_141,0.004070440614646308,4.195127147796288e-06,0.0006252975972072843,1.3993157818446454e-06,0.35328877694594335,1.2478817308219973e-05,0.0002414035832434557,1.4660000975343396e-06,0.0010829468759129088,2.026176958434484e-06,,,,,0.6113614755518004,1.357412928743192e-05,,,,,0.007921296405721806,4.078641189099724e-06,0.021408362425524484,2.40173788608636e-06,,
BRc_grain_142,0.003296493652915599,4.454884085218209e-06,0.0005730526579522317,1.5084523535170565e-06,0.3920211775349212,1.2494845082645763e-05,,,0.0011354454346168142,2.1913714054875283e-06,,,,,0.5925359413793485,1.3346601326086038e-05,,,,,0.008440880601934266,4.311021783283645e-06,0.001997008738311365,1.2316596890154842e-06,,
BRc_grain_143,0.004823675007392147,4.699355211535697e-06,0.0009655894758446649,1.6233877698571666e-06,0.4032137700972503,1.3549960667944296e-05,,,,,,,,,0.5728943691231118,1.4247008128211587e-05,,,,,0.010254742490431524,4.558173397408129e-06,0.00784785380596974,2.6805942728292933e-06,,
BRc_grain_144,0.003124680072934809,4.452448459024405e-06,0.0004032961932556883,1.5063045756369932e-06,0.3497274475375661,1.327255633954526e-05,,,,,,,,,0.6013119687749985,1.4732433230642384e-05,,,,,0.0054215630290502205,2.091078445438924e-06,0.040011044392194606,3.8688017144996726e-06,,
BRc_grain_145,0.00595709933836849,4.04026281709481e-06,0.0005200143632374748,1.3641704382164041e-06,0.34973872921260046,1.17226726825648e-05,0.0012207587293365414,1.3812451839119001e-06,0.0010840405390936001,1.9984602141931437e-06,,,,,0.6232000695290215,1.2738295706466226e-05,,,,,0.012620846737222162,3.880023132262689e-06,0.00565844155111982,2.2937243524117194e-06,,
Hematite_370_01,,,,,0.3983148790815027,1.251712713106007e-05,,,,,,,,,0.5982057924638994,1.2616366920047198e-05,,,,,0.0034793284545978427,2.0753765069054445e-06,,,,
Hematite_370_02,,,,,0.405033459610595,1.2805504633205384e-05,,,,,,,,,0.5949665403894051,1.280550463320536e-05,,,,,,,,,,
Magnetite_01,0.002772696925158736,4.638554491385681e-06,,,0.43262286290394664,1.3596860878081972e-05,,,,,,,,,0.5638765594740678,1.3836652076981759e-05,,,,,0.0007278806968268266,2.193428298678668e-06,,,,
JK25_01,,,,,0.40794992155348975,1.2514477225296382e-05,,,,,,,,,0.5887452151514414,1.2564114283142032e-05,,,,,0.0033048632950688386,2.1460363002168767e-06,,,,
JK25_02,0.0013431767558786637,4.419714014088865e-06,,,0.40556886913257706,1.277153503731939e-05,,,,,,,,,0.5895622185281809,1.3029007325099798e-05,,,,,0.003525735583363267,2.119140047196461e-06,,,,
JK25_03,0.0015907537637231144,4.4232089609448845e-06,,,0.4025236715449981,1.2502049611440247e-05,,,,,,,,,0.5913195844473197,1.2988227120910209e-05,,,,,0.004565990243959119,2.1234225229807083e-06,,,,
JK25_04,0.0012252124609190018,2.1912638963919276e-06,,,0.40594761997671436,1.2463847414922355e-05,,,,,,,,,0.589293664933994,1.2621721474676881e-05,,,,,0.0035335026283725515,2.1903304495498072e-06,,,,
BRe_grain_01,,,,,0.3458366588508593,1.1488028190864483e-05,,,,,,,,,0.6436549116447147,1.202393104177175e-05,,,,,0.010508429504426056,4.375264305281347e-06,,,,
BRe_grain_02,,,0.0029002913705579256,1.4979863802349225e-06,0.36622240907413456,1.1914389450699186e-05,,,0.0018249871215113593,2.1411773817926457e-06,,,,,0.6173176133055135,1.2369048525558452e-05,,,,,0.01173469912828268,4.143899498147422e-06,,,,
BRe_grain_03,0.004796050823717072,3.4489946721456474e-06,,,0.25945277030262015,8.38145495558118e-06,,,0.0015233278703076832,1.70432213218642e-06,,,,,0.7182399890964682,9.285860341035682e-06,,,,,0.015351244474237854,3.264566932203559e-06,0.0006366174326489718,9.488228339256966e-07,,
BRe_grain_04,0.003845443331753292,4.439245218629867e-06,,,0.4053817791197544,1.2738385232362919e-05,,,,,,,,,0.5864699275825788,1.2916390393408684e-05,,,,,0.0038128699068835166,2.1948005324829277e-06,0.0004899800590300706,1.2516802023845549e-06,,
BRe_grain_05,0.0004929049783346655,2.277279242590953e-06,,,0.40673181285070004,1.254366211052635e-05,,,,,,,,,0.5908898083063275,1.2599801165977e-05,,,,,0.0018854738646377853,2.1395078410658737e-06,,,,
BRe_grain_06,0.0005249257840354899,3.80465589789469e-06,,,0.3473339004392259,1.0799093629159465e-05,,,,,,,,,0.6492114664975692,1.1138687620525106e-05,,,,,0.0006997709462067325,1.8606962259248075e-06,0.002229936332962585,1.072487391404295e-06,,
BRe_grain_07,0.0004785627277533379,4.303848114976938e-06,,,0.39648044279593947,1.2118059533825305e-05,,,,,,,,,0.6000487277058693,1.2278163364796324e-05,,,,,0.002992266770437989,2.0971022026490084e-06,,,,
BRe_grain_08,,,,,0.31892523417583213,1.0042984755110499e-05,,,0.0011618541453253823,2.029449410609055e-06,,,,,0.6690863838458896,1.0554249127005947e-05,,,,,0.01082652783295291,3.869261389980242e-06,,,,
BRe_grain_09,0.009706718751740657,4.705891336682072e-06,0.001503355515312842,1.6352584134540567e-06,0.3837245561432049,1.3001810811582378e-05,0.0015397158998163918,1.6729588871663579e-06,,,,,,,0.5714672441103443,1.4211975422108277e-05,,,,,0.028732486327068707,4.545345717126334e-06,0.0033259232525121867,1.3298260429230192e-06,,
BRe_grain_10,0.020115216722243326,4.5065149262016e-06,0.02590561656126965,3.1119560464255905e-06,0.3004201967218923,1.2659999808244394e-05,0.0077962402555592615,1.551628888163494e-06,0.0010423319074732878,2.1524709705196163e-06,,,,,0.561651716003858,1.6787756438518357e-05,0.0051890427141451385,1.9720920942006486e-06,,,0.0560464454818039,4.6172217505404036e-06,0.02183319363175507,2.5846342359907024e-06,,
BRe_grain_11,0.012870926102405917,3.919528346294632e-06,0.0012572570648071509,1.3474848181206783e-06,0.33232469950511023,1.114736545808846e-05,0.0007600139636864981,1.3783870366646257e-06,0.0009691504536409541,1.9836340680974167e-06,,,,,0.6277149367683817,1.2301523535327423e-05,,,,,0.021560054636710266,3.805513183422002e-06,0.002542961505257231,1.1065754940698662e-06,,
BRe_grain_12,0.004476749698403541,4.752723904446705e-06,0.0007090195649090029,1.594471134725475e-06,0.41863180903161407,1.3581808057382894e-05,,,,,,,,,0.564511528958827,1.4300088556405319e-05,,,,,0.007962782648495375,2.2908435406728623e-06,0.0037081100977510674,1.3601891176107202e-06,,
BRe_grain_13,,,,,0.40916893157996675,1.272298275145287e-05,,,,,,,,,0.5833901081992787,1.2910058079597926e-05,,,,,0.007440960220754482,2.1835291039330616e-06,,,,
BRe_grain_14,0.004799992581619516,4.430639723767476e-06,0.0005793881333860815,1.5341128810076041e-06,0.39643917257031414,1.2580805534931703e-05,,,,,,,,,0.589647628178981,1.2848427298859632e-05,,,,,0.006867730549471046,2.1564578309767143e-06,0.0016660879862282348,1.2854190873852262e-06,,
BRe_grain_15,0.0025392539642631194,2.069061340788809e-06,0.00031194352571354054,1.4106699771938496e-06,0.31871156079279794,1.0067851889443978e-05,,,0.0009061118444383463,2.1036161643703464e-06,,,,,0.6602457497957309,1.0771501354513198e-05,,,,,0.017285380077056222,4.010209071519888e-06,,,,
BRe_grain_16,0.0062870072536529,4.199496608649203e-06,,,0.3575262422397201,1.2118463339789428e-05,0.004650468679383292,1.4141986087509828e-06,,,,,,,0.6172093966258362,1.2961046427518158e-05,,,,,0.010206246735501722,3.937302609262835e-06,0.004120638465905765,2.3449123202880204e-06,,
BRe_grain_17,0.004918700088385869,4.3423090387189445e-06,0.0017757011175101197,1.474126992900422e-06,0.36658368542647146,1.17965878213162e-05,,,0.0038897317728629273,2.093852944108298e-06,,,,,0.6034557777593298,1.2692938910841068e-05,,,,,0.016262688639386607,4.1217474291240444e-06,0.003113715196053267,1.2453298957568242e-06,,
BRe_grain_18,0.005760295931577045,4.527334450835203e-06,0.00041488072021324696,1.524376590051923e-06,0.39008473607607325,1.2551648218176908e-05,0.0003375338855108252,1.5704421832736093e-06,,,,,,,0.5922957592617627,1.3113182861234042e-05,,,,,0.008480754949030308,4.23146991762413e-06,0.002626039175832706,1.2738232602899054e-06,,
BRe_grain_19,0.0006112884742015947,2.2379566031556387e-06,,,0.4002215662432403,1.2391248957984682e-05,,,,,,,,,0.5936509778780225,1.2705731732493351e-05,,,,,0.005516167404535516,2.1575951600842363e-06,,,,
BRe_grain_20,0.004755440770775535,4.3422386890277655e-06,0.0011219414320385607,1.4547898198468854e-06,0.3712209908187571,1.317162173734168e-05,0.0002460561227661458,1.498333856735754e-06,0.0011131078648778585,2.0911214103264966e-06,,,,,0.602274743992611,1.4024627209260327e-05,0.0006232138320952532,1.8527799953375581e-06,,,0.01475667570779227,4.085298646939791e-06,0.0038878294582861132,2.450529273648794e-06,,
