Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
BRe_grain_83,0.0009032073434493195,4.135340058545229e-06,,,,,,,0.39007363876380236,1.2681273581532536e-05,,,,,,,,,0.6034407593317909,1.293939183002885e-05,0.0030720629535059205,1.796171998842269e-06,,,0.002510331607451548,2.024392662396292e-06,,,,
BRe_grain_84,0.0009122927323757672,4.083953250614873e-06,,,,,,,0.3962647691814695,1.3074146701174558e-05,,,,,,,,,0.6005617860355871,1.3143279086110568e-05,,,,,0.0017464643184539727,1.9347059021997197e-06,0.0005146877321135818,1.170598963018145e-06,,
BRe_grain_85,0.0018164084223269916,4.127171863939744e-06,0.0015262550686302536,1.3950546573709781e-06,,,,,0.36926259464415245,1.1978014328864382e-05,,,,,0.0012815814757295562,2.070020025918455e-06,,,0.6109337888856471,1.292010322286516e-05,,,,,0.013929490737146928,3.8838430663550094e-06,0.0008306599567150601,1.161052522679939e-06,0.00041922080965165533,1.1002936183185833e-06
BRe_grain_86,0.0074387344805813055,4.7695341418115904e-06,0.0014304567925072578,1.6429606447669781e-06,,,,,0.4162779482454543,1.4098456176308338e-05,,,,,,,,,0.5501826998519055,1.5027748093174701e-05,,,,,0.0194100964249726,4.67926865375975e-06,0.0043472255564266605,2.7555614852179855e-06,0.0009128386481524596,1.2789408776889293e-06
BRe_grain_87,0.00047844201368131285,3.4722872321549884e-06,,,,,,,0.3359520182707512,1.0203029141964157e-05,,,,,,,,,0.6574395603101822,1.04949539921006e-05,,,,,0.006129979405385273,3.3755602028069096e-06,,,,
BRe_grain_88,,,0.0005285266773997772,1.2020880516081075e-06,,,,,0.14201106187822352,1.01346270894712e-05,,,,,0.006568762536367414,1.7823876738128964e-06,,,0.6648362539648148,2.1304424352456587e-05,,,,,,,0.18453929305668387,1.2352753412351435e-05,0.0015161018865106736,2.8884415047696996e-06
BRe_grain_89,0.0002430867635795843,3.5962809974520854e-06,,,,,,,0.39294062839279137,1.2673940393964465e-05,,,,,,,,,0.5959180639421892,1.320363737526427e-05,,,,,0.010827808835992193,3.94077780524866e-06,7.041206544775558e-05,1.022550088504309e-06,,
BRe_grain_90,0.008163882619929055,4.052793168325411e-06,0.0018572750718101449,1.360775051607096e-06,,,,,0.349950268903587,1.1706189102828573e-05,,,,,0.0013533416177768517,2.021876369541377e-06,,,0.6162685524667162,1.2571039609281694e-05,0.003454652049470709,1.7537020216854583e-06,,,0.017481526726813364,3.8683315064625245e-06,0.0011197497804425432,1.1419893676459133e-06,0.0003507507634541767,1.0397128342375148e-06
BRe_grain_91,0.0008214168892076169,2.0822946813355716e-06,,,,,,,0.4007511842270735,1.182328829471691e-05,,,,,,,,,0.592797746713496,1.2018134499943686e-05,,,,,0.005629652170222857,2.065124273433238e-06,,,,
BRe_grain_92,0.011404157077774346,4.0286589319529886e-06,0.0010544109252403294,1.3691765703099e-06,,,,,0.3617605342542515,1.1531523242444901e-05,,,,,0.0008779378171573784,1.916369520633046e-06,,,0.6109397565529464,1.2644644665634619e-05,0.00048657687953523106,1.7965147092457304e-06,0.0006603666132765214,1.7314040269128352e-06,0.012459578758291638,3.962255421360176e-06,,,0.00035668112152669764,1.0792580320714254e-06
BRe_grain_93,0.004058059026576771,3.829288947528865e-06,0.000933643069998274,1.2959054764050502e-06,,,,,0.342567642634344,1.1208220347617174e-05,,,,,0.0011551422884759814,1.8955545251360676e-06,,,0.6309538036695256,1.228954611177741e-05,,,,,0.016925611128641656,3.6482467629321967e-06,0.0030088452716327523,2.1913349905903593e-06,0.00039725291080486584,1.0446039214236686e-06
BRe_grain_94,0.011265413418777213,3.888486871218906e-06,0.00517936569672014,1.3209767048137676e-06,,,,,0.33376489512822105,1.2489082390647861e-05,0.0014942258957066563,1.3538979343194894e-06,,,0.0008492930958852208,1.953513821266748e-06,,,0.6177270147572251,1.3827202668924001e-05,0.0018885344337323652,1.7135103369185522e-06,,,0.019982655381303147,3.788839593475418e-06,0.007449240974571946,2.259856856608109e-06,0.00039936121785705264,2.1172012567695914e-06
BRe_grain_95,0.01126967095190551,4.018424791036858e-06,0.005177007054620725,1.3262156500864869e-06,,,,,0.33375572499832623,1.2380494963752334e-05,0.0014946957416820648,1.3235288728711925e-06,,,0.0008513298194962857,1.934333643188902e-06,,,0.6177426367974399,1.4116675568713108e-05,0.0018862327019499156,1.7266436046889793e-06,,,0.019976849394578205,3.825597370186198e-06,0.0074469606075293045,2.2344434460392223e-06,0.00039889193247185105,2.032713797826081e-06
BRe_grain_96,0.0032825165081797345,4.143510683925946e-06,0.0015259747313432802,1.3984959325859502e-06,0.0007754532178564402,1.5716589741465612e-06,,,0.3724911523775254,1.2262911965653814e-05,,,,,0.0032770695151225883,2.001235410603895e-06,,,0.6094471722695025,1.275632811773769e-05,,,,,0.008481508001535621,4.024100555283999e-06,,,0.0007191533789345046,1.0948218502599637e-06
BRe_grain_97,0.0005835108097899108,2.120447432921718e-06,,,,,,,0.40605795535566497,1.2108922876865033e-05,,,,,,,,,0.5917828949218525,1.2214290549802978e-05,,,,,0.0015756389126925351,2.0587765860567974e-06,,,,
BRe_grain_98,,,,,,,,,0.40891216489556714,1.215318260877828e-05,,,,,,,,,0.5888204848858126,1.2284299544214031e-05,,,,,0.002267350218620096,2.068206954388609e-06,,,,
