Grain,Fe,Fe_se,O,O_se,Ti,Ti_se,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Mn,Mn_se,P,P_se,Si,Si_se,V,V_se,Ca,Ca_se,Nb,Nb_se,W,W_se,K,K_se,Ni,Ni_se,S,S_se,Phase_Class,Cl,Cl_se,Mg,Mg_se,Zn,Zn_se,Sr,Sr_se
BRc_grain_94,0.33387311590273655,1.698405883055015e-05,0.6074061545231338,1.9198501048414823e-05,0.03068650178140074,4.7349762021188974e-06,0.011644864486211316,6.137951383579417e-06,,,,,0.002185267991017791,3.1262624006115265e-06,,,0.01293528692517619,4.0013583663069346e-06,0.0012688083903234452,2.1662041940720997e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_98,0.37602846605571216,1.734170221050414e-05,0.5954547846162238,1.8225244442706886e-05,0.0072107054943659436,2.4977331741119092e-06,0.008007224353813378,6.468896469014985e-06,,,,,0.0013511381933545656,3.1442802139436237e-06,,,0.011947681286530175,4.140589200463103e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_99,0.3198439691179457,1.8355440354811754e-05,0.6047261624574052,2.2132465888428806e-05,0.056401822936329796,6.389879206706517e-06,0.008930697501212767,6.254820788014114e-06,,,,,0.005382345496128273,3.0644972660822224e-06,,,0.0012998003447639882,4.016344265900003e-06,0.003415202146214307,3.351144108801225e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_101,0.4096104834437021,1.8204003051078162e-05,0.5821993642277027,1.8691702827956645e-05,0.0012422195966826986,2.52631965158933e-06,0.0036609767136087435,4.4546263768414625e-06,,,,,,,,,0.0032869560183038664,4.3129997235442525e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_103,0.3253631686429129,1.8716534253545532e-05,0.6105997944426771,2.171163818232008e-05,0.050615126044354794,5.18673969655636e-06,0.00784420950291853,6.0516927181590085e-06,,,,,,,,,0.0018308685272303675,3.849719367257512e-06,0.003746832839906322,3.337280214414274e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_104,0.3610063664305047,1.763414264726719e-05,0.5881884823833619,1.930420972982905e-05,0.015249779974916923,3.7767408580621214e-06,0.026695112894867597,6.590376259284363e-06,,,0.00297137566936416,2.2713470956799362e-06,0.0010562932284178042,3.16714223432487e-06,,,0.0016110215368078291,4.2264449621347334e-06,0.003221567881759126,2.3203101272856475e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_106,0.40971428075313915,1.832738662575791e-05,0.5796993727910337,1.888647079183591e-05,0.002625351356329545,2.5657995246515365e-06,0.005259116676193617,4.3931227004942e-06,,,,,,,,,0.0027018784233040893,4.2729963668252085e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_107,0.3979124919867595,1.8006086071858045e-05,0.5813619077815719,1.851272371428591e-05,0.008461482275500958,3.735986364120304e-06,0.006024852953825342,4.523023968835569e-06,,,,,,,0.0008504223613769764,3.946079994430175e-06,0.004016877428198757,4.285619047060252e-06,0.001371965212766491,2.4110498125323794e-06,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_108,0.39964232609532374,1.763675879666554e-05,0.5779296576545822,1.843249747458757e-05,0.0038873823417770303,2.5589208661421726e-06,0.008245968194807066,6.574705839704232e-06,,,,,,,,,0.010294665713510042,4.261025383172037e-06,,,,,,,,,,,,,,,hematite,,,,,,,,
BRc_grain_109,0.3951644273792737,1.7747385685252064e-05,0.5778521549068605,1.8844911037931514e-05,0.006091868101582913,2.5156160541295873e-06,0.006833882417195703,4.6099210800207615e-06,,,,,0.0015283543679176,3.3381586691675346e-06,,,0.011938855636557192,4.290643880600226e-06,0.0005904571906122999,2.4246338038272212e-06,,,,,,,,,,,,,hematite,,,,,,,,
