Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
LRa02_grain_83,0.0005378414435275949,2.3907223563978404e-06,,,,,0.11993873409801419,8.522468688134116e-06,,,,,0.014955894558175042,2.8557572117884735e-06,,,0.6697820292093962,1.9646461712606077e-05,,,,,0.0013009315201101834,2.0490872524081482e-06,,,0.19348456917077678,1.2002890931453166e-05,,,,,,
LRa02_grain_84,,,,,,,0.11648657629718881,8.29193664485891e-06,,,,,0.0030410958168603525,1.9436791865737947e-06,,,0.6793658981076214,1.8618442764083013e-05,,,,,0.03259000438018149,3.912659024434314e-06,,,0.1685164253981479,1.0402704575907756e-05,,,,,,
LRa02_grain_85,,,,,,,0.13188798157678316,8.992830407443551e-06,,,,,,,,,0.681274175913613,1.852319261363556e-05,,,,,0.0020205562526824624,2.0630368825517384e-06,,,0.18481728625692154,1.1204798582492919e-05,,,,,,
LRa02_grain_86,0.0005509584388092116,2.2627991799290912e-06,0.00022479856211316687,1.2412888134974072e-06,,,0.10767478451876121,8.19466927214896e-06,,,,,0.0049249063288178225,2.0420505099766487e-06,,,0.6850549104487426,1.9198474877233383e-05,,,,,0.0018988323406397161,2.014531008855196e-06,,,0.19967080936211634,1.2370676721797653e-05,,,,,,
LRa02_grain_87,0.0005810919962598077,2.2926321981253854e-06,0.002576504122252858,1.4067602247030362e-06,,,0.12626668333313015,9.110454856550651e-06,,,,,,,,,0.6781827949092826,1.9771831121946192e-05,,,,,0.002946104395402566,2.1721852020114515e-06,,,0.18944682124367196,1.2002546493397825e-05,,,,,,
LRa02_grain_88,0.0015272118481885668,2.337060548959296e-06,0.0062403651291442624,1.5895041257859945e-06,,,0.09811531468864769,7.554925291917723e-06,,,,,0.0015088410529595544,1.7720312093257712e-06,,,0.6850438906150144,1.9880119374368903e-05,,,,,0.007171771942727677,2.3108222717387868e-06,,,0.20039260472331796,1.3105651252089668e-05,,,,,,
LRa02_grain_89,0.0032237397450814304,3.296414555073278e-06,0.000916845918471557,1.5862797433770549e-06,,,0.34552948125701216,1.2364782005442063e-05,,,,,0.0016099112586124829,2.063303078803471e-06,,,0.6350162958577249,1.3090829710180703e-05,0.00037136680251984017,2.2123055768416537e-06,0.00043670415195225845,1.9314510188531507e-06,0.01099672008145014,3.3290914312153145e-06,,,0.0007655655033245999,1.5493425675299945e-06,0.0011333694238504473,1.6178956345823426e-06,,,,
LRa02_grain_90,0.009321476703124328,3.88355331245283e-06,0.0009715717234359272,1.6898403182006859e-06,,,0.3498786615916343,1.3259033886166538e-05,,,,,0.0011607156373669503,2.1085891989371734e-06,,,0.6146370826199831,1.4541719368276905e-05,,,,,0.01719048022815491,3.7996819876812066e-06,,,0.006367799579579282,1.9920178172636956e-06,0.0004722119167211692,1.7394238080270633e-06,,,,
LRa02_grain_91,0.0016929318864632693,3.3633864655160093e-06,,,,,0.3713395005800958,1.2425139438233873e-05,,,,,,,,,0.6206723208325038,1.2790045080760906e-05,,,,,0.0038663019815164896,2.8484744731425107e-06,,,0.002428944719420719,1.7306172182675114e-06,,,,,,
LRa02_grain_92,0.014946994524305148,4.423072951500365e-06,0.0006642867451281812,1.7064283932472098e-06,,,0.3384923339404667,1.3145776511499781e-05,0.0013280129853048557,1.7626930873247932e-06,0.013236439955733073,5.2968030188001094e-06,0.0013897828403542582,2.144813847753041e-06,,,0.5994519106656816,1.5244219307316746e-05,,,,,0.021893891775806366,4.0812151505876826e-06,,,0.008010321619210083,2.1611956625897457e-06,0.0005860249480097748,1.6960674717454987e-06,,,,
