Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
LRa02_grain_03,,,,,,,0.44038019063802897,1.4195043849412573e-05,,,,,,,,,0.5569322556035267,1.4281002911082531e-05,,,,,0.0026875537584443803,2.302984583974236e-06,,,,
LRa02_grain_04,0.007091286199008776,4.5624215360707585e-06,0.0011119096006605498,1.5346929744500737e-06,,,0.3750960508276418,1.2706296367845827e-05,,,,,,,,,0.5948846660344714,1.3702355893589049e-05,0.00044308474830606403,2.0337309270633836e-06,0.0005351193601828889,1.930697684999333e-06,0.014119941977694735,4.4927535628578965e-06,0.006717941252033768,2.5750524745573865e-06,,
LRa02_grain_05,0.011893789621681016,4.339163797498056e-06,0.0006491184073238619,1.4878556362799003e-06,,,0.3481793547079266,1.2805915526830434e-05,0.000579569700216488,1.502913055623847e-06,,,,,,,0.6132245414073925,1.3948215515100369e-05,,,,,0.020425806044071904,4.062566292840741e-06,0.004602851015908011,2.4874677949215627e-06,0.00044496909547967747,1.134115564803657e-06
LRa02_grain_06,0.012127458433391804,4.489293251600419e-06,0.000494376701047135,1.4917274540014824e-06,,,0.3508159407941825,1.1722486659771096e-05,,,,,,,,,0.6136243967919607,1.2798272854225129e-05,,,,,0.0182397838275691,4.236627742809412e-06,0.004698043451848795,2.5295237786439214e-06,,
LRa02_grain_07,0.016728891086666513,4.409523439743012e-06,0.0005690707808925901,1.4789498592945795e-06,,,0.3354916679588543,1.1012945809139303e-05,0.00041908155814309687,1.5103090743180088e-06,0.023006217870824096,4.872985276053202e-06,,,,,0.592650114645249,1.3025083878240599e-05,,,,,0.026660239272956972,4.093163398779247e-06,0.003961495483010585,2.524314426966984e-06,0.0005132213434029185,1.1674624258792592e-06
LRa02_grain_08,0.00499550702378068,4.575158773039745e-06,0.0004939257197673197,1.522965414538451e-06,,,0.3727508218779232,1.2412743771054444e-05,,,,,,,,,0.6051528867820798,1.2801565371370791e-05,,,,,0.009251244051965925,4.257384010758963e-06,0.00735561454448306,2.544604160482467e-06,,
LRa02_grain_09,0.014865456714897538,4.708350395642185e-06,0.0014029814165952142,1.5932486872890502e-06,,,0.3636304670412122,1.2280298969619754e-05,0.005760947522521913,1.634412053207948e-06,,,,,,,0.5799862629794328,1.3783651305040826e-05,,,,,0.028943241865399462,4.596313131710587e-06,0.004925792917092083,2.6537596291054076e-06,0.00048484954284881763,1.2544256159747226e-06
LRa02_grain_10,0.013636340373337075,4.465378084183275e-06,0.0007569826051592707,1.5386528328944579e-06,,,0.3537508333972591,1.1878121585118733e-05,,,0.017223267138289394,5.029538905472829e-06,,,,,0.5871360707582861,1.343464593250985e-05,,,,,0.022957787189253082,4.445340028586598e-06,0.0038092731135440706,1.2725902168437558e-06,0.0007294454248719197,1.2184676548831983e-06
LRa02_grain_11,0.012828501744786678,4.477013395886958e-06,0.0005812384292251139,1.5268486331643473e-06,,,0.3599246966551559,1.2022270809733483e-05,,,,,,,,,0.6061363842487919,1.2730968022364953e-05,,,,,0.01730990026643724,4.230550533222095e-06,0.0024326780082128837,1.2564895542656655e-06,0.0007866006473902421,1.1773243408371787e-06
LRa02_grain_12,0.007578371918707771,4.816181551925627e-06,0.0005291085124469344,1.5954492231683717e-06,,,0.38554370894322954,1.3353668183327669e-05,0.0009919778004238745,1.6301657908692393e-06,,,,,,,0.5725982020625083,1.448675571340177e-05,,,,,0.027876799296154237,4.61532885415001e-06,0.004051807503953528,1.3419359537092365e-06,0.0008300239625758404,1.2311978939892045e-06
LRa02_grain_13,0.01819035576140727,4.691859055540749e-06,0.0005304337197681513,1.6378368971467918e-06,,,0.3572374338367129,1.2360815788046132e-05,,,0.02369646127335178,5.3922969541615146e-06,,,,,0.5628628507253328,1.4276476677951441e-05,,,,,0.029240679369821828,4.545101205709432e-06,0.008241785313605256,2.707733105622161e-06,,
LRa02_grain_14,0.013624435836505694,4.425510935027268e-06,0.0005027038866550227,1.4918585400906004e-06,,,0.3503771379324494,1.1796667100558525e-05,0.00034268722499391065,1.5184912735035862e-06,,,,,,,0.6099147179903669,1.312413621497571e-05,,,,,0.021780088885184574,4.357905434513346e-06,0.002932575619917019,1.2720518719441278e-06,0.0005256526239274731,1.20308970354013e-06
LRa02_grain_15,0.00852388290315107,5.093948834474171e-06,0.0003703243421148219,1.6736667678038112e-06,,,0.41383141213302155,1.4241774809924937e-05,0.0010413334504336081,1.7491766731315138e-06,,,,,,,0.559277518630976,1.5295473852730347e-05,,,,,0.014402690809201256,4.75782119305686e-06,0.001240563673219002,1.4194269452082402e-06,0.001312274057882748,1.326477476936718e-06
LRa02_grain_16,0.0010743610410071168,2.1788140576105577e-06,,,,,0.3253166286080393,1.0409438989173364e-05,,,,,,,,,0.663320351445504,1.0658607062434169e-05,0.0012444549752462224,1.9008011528967818e-06,,,0.009044203930203356,2.0683463014814466e-06,,,,
LRa02_grain_17,0.021957932225573067,4.571109866927537e-06,0.0016673664534584043,1.5311577678013561e-06,,,0.3277149232881361,1.2139306469122774e-05,0.004363742384958702,1.5763080608628361e-06,,,,,,,0.596896864546946,1.4273286077321448e-05,,,,,0.03908182033328777,4.3409899384711275e-06,0.008317350767639908,2.5335031372264147e-06,,
