Hematite_Senin_01,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
Mn,EDS,K series,0.13,0.00121,0.1357,0.0192,0.0707,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,56.52,0.51376,56.3483,0.0955,28.8573,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,97.3072,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Goethite_02,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,36.12,0.20545,38.7382,0.085,68.9714,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.16,0.00089,0.2427,0.0151,0.2562,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.41,0.0022,0.4347,0.0139,0.4409,,,,,Nepheline,No,9/24/2025 22:58
P,EDS,K series,1.12,0.00891,1.4668,0.017,1.349,,,,,Chlorapatite,No,4/28/2025 23:22
Ca,EDS,K series,0.13,0.00115,0.1186,0.0113,0.0843,,,,,Diopside,No,5/13/2025 18:15
Mn,EDS,K series,0.14,0.00128,0.1432,0.0192,0.0743,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,56.68,0.5152,56.5105,0.0957,28.8239,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,97.6548,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Goethite_03,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,36.12,0.20545,38.7941,0.0852,69.0706,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.16,0.00089,0.2427,0.0149,0.2562,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.42,0.00226,0.4458,0.0139,0.4521,,,,,Nepheline,No,9/24/2025 22:58
P,EDS,K series,1.13,0.00896,1.4739,0.0171,1.3555,,,,,Chlorapatite,No,4/28/2025 23:22
Ca,EDS,K series,0.16,0.00139,0.1435,0.0113,0.102,,,,,Diopside,No,5/13/2025 18:15
Fe,EDS,K series,56.54,0.51392,56.3927,0.0956,28.7636,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,97.4928,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_71,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,29.54,0.16803,32.5953,0.0848,61.8276,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.33,0.00186,0.5244,0.0175,0.5899,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.88,0.00476,0.9673,0.0167,1.0452,,,,,Nepheline,No,9/24/2025 22:58
Ca,EDS,K series,0.05,0.00043,0.0443,0.0115,0.0335,,,,,Diopside,No,5/13/2025 18:15
Ti,EDS,K series,0.1,0.0009,0.0916,0.0136,0.058,,,,,TiO2,No,5/13/2025 18:15
Mn,EDS,K series,0.18,0.00169,0.186,0.0203,0.1028,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,68.26,0.62045,66.8806,0.103,36.343,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,101.2896,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_72,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.76,0.16359,32.4558,0.086,62.0928,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.19,0.0011,0.3101,0.0165,0.3518,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.95,0.00512,1.0379,0.0169,1.1311,,,,,Nepheline,No,9/24/2025 22:58
Ca,EDS,K series,0.1,0.00084,0.0861,0.0116,0.0658,,,,,Diopside,No,5/13/2025 18:15
Ti,EDS,K series,0.36,0.00335,0.3399,0.0148,0.2172,,,,,TiO2,No,5/13/2025 18:15
V,EDS,K series,0.12,0.00119,0.1162,0.015,0.0698,,,,,V,Yes,
Mn,EDS,K series,0.16,0.00156,0.1716,0.0203,0.0956,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,66.91,0.60826,65.64,0.1021,35.9759,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,100.1576,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_73,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.7,0.15186,29.5743,0.0802,59.8254,,,,,hematite_elba,No,9/30/2025 17:52
V,EDS,K series,0.31,0.00313,0.3012,0.0154,0.1913,,,,,V,Yes,
Fe,EDS,K series,70.92,0.64463,68.9946,0.104,39.9833,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,98.87,,100,,,,,,,
,,,,,,,,,,,,,,
