Hematite_Elba_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
V,EDS,K series,0.1,0.00102,0.1,0.01,0.06,,,,V,Yes,
Fe,EDS,K series,68.94,0.64416,68.89,0.1,40.49,,,,Hematite,No,12/18/24 23:25
Total,,,,,98.6,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_45,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,18.34,0.10423,34.3,0.11,62.07,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,1.07,0.00604,1.62,0.02,1.74,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.08,0.00039,0.08,0.01,0.08,,,,Forsterite,No,12/9/24 20:00
Ca,EDS,K series,0.04,0.00034,0.03,0.01,0.02,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,10.76,0.09895,10.24,0.03,6.19,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.93,0.00929,0.94,0.02,0.53,,,,V,Yes,
Mn,EDS,K series,0.28,0.00265,0.3,0.02,0.16,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,54.79,0.51191,56.35,0.09,29.21,,,,Hematite,No,12/18/24 23:25
Total,,,,,103.86,,100,,,,,,
,,,,,,,,,,,,,
BRc02_grain_46,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.05,0.15941,30.89,0.08,60.11,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.08,0.00045,0.13,0.02,0.15,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.65,0.00339,0.69,0.02,0.77,,,,Forsterite,No,12/9/24 20:00
Ti,EDS,K series,0.08,0.00076,0.08,0.01,0.05,,,,TiO2,No,12/9/24 20:22
Fe,EDS,K series,69.66,0.65093,69.81,0.1,38.92,,,,Hematite,No,12/18/24 23:25
Total,,,,,101.6,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_47,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,27.71,0.15747,30.37,0.07,59.6,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.06,0.00032,0.09,0.01,0.11,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.28,0.00144,0.3,0.01,0.33,,,,Forsterite,No,12/9/24 20:00
Ti,EDS,K series,0.06,0.00055,0.06,0.01,0.04,,,,TiO2,No,12/9/24 20:22
Fe,EDS,K series,71.01,0.66352,71.02,0.1,39.93,,,,Hematite,No,12/18/24 23:25
Total,,,,,101.83,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_48,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,27.72,0.15755,32.47,0.08,60.74,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.77,0.00436,1.21,0.02,1.34,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,1.89,0.0098,1.98,0.02,2.11,,,,Forsterite,No,12/9/24 20:00
K,EDS,K series,0.15,0.00122,0.13,0.01,0.1,,,,Orthoclase,No,12/9/24 20:17
Ca,EDS,K series,0.07,0.0006,0.06,0.01,0.05,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,0.54,0.005,0.51,0.02,0.32,,,,TiO2,No,12/9/24 20:22
V,EDS,K series,0.07,0.00068,0.07,0.01,0.04,,,,V,Yes,
Mn,EDS,K series,0.17,0.00158,0.17,0.02,0.09,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,65.02,0.60757,65.68,0.1,35.2,,,,Hematite,No,12/18/24 23:25
Total,,,,,102.29,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BRc02_grain_49,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,27,0.15346,31.83,0.08,60.47,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.41,0.00232,0.65,0.02,0.73,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,1.29,0.00668,1.35,0.02,1.47,,,,Forsterite,No,12/9/24 20:00
K,EDS,K series,0.07,0.00056,0.06,0.01,0.05,,,,Orthoclase,No,12/9/24 20:17
Ca,EDS,K series,0.15,0.0013,0.13,0.01,0.1,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,0.98,0.00898,0.91,0.02,0.58,,,,TiO2,No,12/9/24 20:22
Mn,EDS,K series,0.41,0.00385,0.42,0.02,0.23,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,66.33,0.61979,66.83,0.1,36.37,,,,Hematite,No,12/18/24 23:25
Total,,,,,102.2,,100,,,,,,
,,,,,,,,,,,,,
BRc02_grain_50,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.99,0.15341,31.74,0.08,60.43,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.41,0.00232,0.65,0.02,0.73,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,1.29,0.00668,1.36,0.02,1.47,,,,Forsterite,No,12/9/24 20:00
Ca,EDS,K series,0.15,0.00126,0.13,0.01,0.1,,,,Diopside,No,12/9/24 20:18
Ti,EDS,K series,0.98,0.00898,0.91,0.02,0.58,,,,TiO2,No,12/9/24 20:22
Mn,EDS,K series,0.41,0.00385,0.42,0.02,0.23,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,66.33,0.61979,66.82,0.1,36.45,,,,Hematite,No,12/18/24 23:25
Total,,,,,102.02,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
