Hematite_370_01,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Factory Standard,Standardization Date,,,,
Ca,EDS,K series,0.14,0.00121,0.12,0.01,0.08,,,,Diopside,No,12/9/24 20:18
Mn,EDS,K series,0.14,0.00133,0.15,0.02,0.07,,,,MnO,No,12/9/24 20:20
Fe,EDS,K series,57.53,0.53759,59,0.1,28.63,,,,Hematite,No,12/18/24 23:25
Total,,,,,102.36,,100,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_05,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.63,0.15131,29.4,0.07,57.66,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.12,0.00066,0.19,0.02,0.22,,,,Nepheline,No,12/9/24 21:18
Si,EDS,K series,0.05,0.00025,0.05,0.01,0.06,,,,Forsterite,No,12/9/24 20:00
Ti,EDS,K series,0.07,0.00065,0.06,0.01,0.04,,,,TiO2,No,12/9/24 20:22
Fe,EDS,K series,75.09,0.70161,74.79,0.11,42.02,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.5,,100,,,,,,
,,,,,,,,,,,,,
Magnetite_oxpuck_06,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26.59,0.15111,29.32,0.07,57.61,,,,Hematite,No,12/18/24 23:25
Al,EDS,K series,0.13,0.00073,0.21,0.02,0.25,,,,Nepheline,No,12/9/24 21:18
Ti,EDS,K series,0.05,0.00048,0.05,0.01,0.03,,,,TiO2,No,12/9/24 20:22
Fe,EDS,K series,75.12,0.70191,74.81,0.11,42.11,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.39,,100,,,,,,
,,,,,,,,,,,,,
Hematite_Elba_05,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,29.33,0.16666,31.78,0.08,60.33,,,,Hematite,No,12/18/24 23:25
Si,EDS,K series,0.05,0.00026,0.05,0.01,0.06,,,,Forsterite,No,12/9/24 20:00
Fe,EDS,K series,72.78,0.68008,72.83,0.11,39.61,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.66,,100,,,,,,
,,,,,,,,,,,,,
Hematite_Elba_06,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,29.26,0.16627,31.68,0.08,60.31,,,,Hematite,No,12/18/24 23:25
Fe,EDS,K series,72.75,0.67974,72.78,0.11,39.69,,,,Hematite,No,12/18/24 23:25
Total,,,,,104.46,,100,,,,,,
