Hematite Elba,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,40.77,1.46,0.13721,27.92,0.1,58.03,,,,,SiO2,Yes,
Al,EDS,K series,0.29,0.49,0.00209,0.59,0.02,0.73,,,,,Al2O3,Yes,
Si,EDS,K series,0.52,0.94,0.0027,0.55,0.02,0.66,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.68,1,0.00681,0.68,0.02,0.48,,,,,Ti,Yes,
Fe,EDS,K series,69.23,1.03,0.62932,67.36,0.14,40.11,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,97.12,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_59,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,26,0.78,0.08751,33.35,0.15,61.94,,,,,SiO2,Yes,
Al,EDS,K series,0.5,0.53,0.0036,0.95,0.03,1.05,,,,,Al2O3,Yes,
Si,EDS,K series,0.54,1,0.00281,0.54,0.02,0.58,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,14.12,0.96,0.1412,14.68,0.06,9.11,,,,,Ti,Yes,
Mn,EDS,K series,0.88,0.88,0.00878,1,0.03,0.54,,,,,Mn,Yes,
Fe,EDS,K series,49.98,0.99,0.45429,50.34,0.13,26.79,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,100.87,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_60,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,40.93,1.46,0.13773,28.1,0.1,58,,,,,SiO2,Yes,
Al,EDS,K series,0.15,0.49,0.00111,0.32,0.02,0.39,,,,,Al2O3,Yes,
Si,EDS,K series,0.11,0.94,0.00058,0.12,0.02,0.14,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,0.91,1,0.0091,0.91,0.02,0.63,,,,,Ti,Yes,
Fe,EDS,K series,71.08,1.03,0.64613,69.07,0.15,40.84,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,98.51,,100,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_61,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,23.89,0.74,0.0804,32.4,0.16,61.77,,,,,SiO2,Yes,
Al,EDS,K series,0.48,0.53,0.00342,0.9,0.02,1.02,,,,,Al2O3,Yes,
Si,EDS,K series,0.24,1,0.00125,0.24,0.02,0.26,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,15.26,0.96,0.15263,15.88,0.06,10.11,,,,,Ti,Yes,
Mn,EDS,K series,0.53,0.88,0.0053,0.6,0.03,0.34,,,,,Mn,Yes,
Fe,EDS,K series,48.06,0.99,0.43687,48.51,0.13,26.5,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,98.53,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_62,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,25.15,0.74,0.08462,33.78,0.16,62.34,,,,,SiO2,Yes,
Al,EDS,K series,0.42,0.53,0.00299,0.78,0.02,0.86,,,,,Al2O3,Yes,
Si,EDS,K series,0.61,1,0.00318,0.61,0.02,0.64,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,15.32,0.96,0.15318,15.96,0.06,9.84,,,,,Ti,Yes,
Mn,EDS,K series,0.86,0.88,0.00863,0.99,0.03,0.53,,,,,Mn,Yes,
Fe,EDS,K series,48.28,0.99,0.43882,48.78,0.13,25.79,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,100.9,,100,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_65,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,21.76,0.73,0.07322,29.98,0.15,59.57,,,,,SiO2,Yes,
Al,EDS,K series,0.27,0.53,0.00197,0.52,0.02,0.61,,,,,Al2O3,Yes,
Si,EDS,K series,0.64,1,0.00333,0.64,0.02,0.73,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,15.38,0.97,0.1538,15.93,0.06,10.57,,,,,Ti,Yes,
Mn,EDS,K series,0.81,0.88,0.00809,0.92,0.03,0.53,,,,,Mn,Yes,
Fe,EDS,K series,48.91,0.99,0.44455,49.17,0.13,27.99,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,97.17,,100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_67,,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,Intensity Correction,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,28.47,0.92,0.0958,30.97,0.14,60.29,,,,,SiO2,Yes,
Al,EDS,K series,0.5,0.51,0.00356,0.97,0.03,1.11,,,,,Al2O3,Yes,
Si,EDS,K series,0.21,0.97,0.00109,0.22,0.02,0.24,,,,,Forsterite,No,8/13/24 20:00
Ti,EDS,K series,10.05,0.97,0.10049,10.33,0.05,6.72,,,,,Ti,Yes,
Mn,EDS,K series,0.56,0.89,0.00557,0.63,0.03,0.35,,,,,Mn,Yes,
Fe,EDS,K series,56.34,1,0.51213,56.08,0.13,31.28,,,,,Fayalite,No,8/13/24 19:59
Total,,,,,,99.18,,100,,,,,,,
,,,,,,,,,,,,,,,
BRc_grain_68,,,,,,,,,,,,,,,
